Zipcode,Median Household Income,Median Value,Cities,Houston Area Detail
77520.0,43094.0,76200.0,Baytown,Other Cities
77521.0,54343.0,118700.0,Baytown,Other Cities
77530.0,45514.0,85600.0,Channelview,Other Cities
77532.0,62313.0,123500.0,Crosby,Other Cities
77536.0,79251.0,133900.0,Deer Park,Other Cities
77547.0,42434.0,65900.0,Galena Park,Other Cities
77562.0,59688.0,98500.0,Highlands,Other Cities
77571.0,69480.0,123000.0,La Porte,Other Cities
77586.0,87136.0,185500.0,Seabrook,Other Cities
77587.0,38750.0,78200.0,South Houston,Other Cities
77598.0,46161.0,118000.0,Webster,Other Cities
77002.0,71319.0,204600.0,Houston,Inner Loop
77003.0,40647.0,191700.0,Houston,Inner Loop
77004.0,46059.0,207800.0,Houston,Inner Loop
77005.0,163802.0,799000.0,Houston,Inner Loop
77006.0,69508.0,341600.0,Houston,Inner Loop
77007.0,106044.0,323900.0,Houston,Inner Loop
77008.0,77512.0,312000.0,Houston,Inner Loop
77009.0,45016.0,174300.0,Houston,Inner Loop
77011.0,26953.0,80600.0,Houston,Inner Loop
77012.0,35884.0,78400.0,Houston,Inner Loop
77013.0,38519.0,83500.0,Houston,Northeast
77014.0,40787.0,120800.0,Houston,Northwest
77015.0,42942.0,90100.0,Houston,Northeast
77016.0,31808.0,63200.0,Houston,Northeast
77017.0,38337.0,86500.0,Houston,Southeast
77018.0,65919.0,241200.0,Houston,Northwest
77019.0,92844.0,386900.0,Houston,Inner Loop
77020.0,27871.0,69600.0,Houston,Inner Loop
77021.0,32391.0,82700.0,Houston,Inner Loop
77022.0,30011.0,77500.0,Houston,Northeast
77023.0,37361.0,99100.0,Houston,Inner Loop
77024.0,114864.0,720200.0,Houston,Southwest
77025.0,65524.0,349700.0,Houston,Inner Loop
77026.0,21335.0,59200.0,Houston,Inner Loop
77027.0,82038.0,505600.0,Houston,Inner Loop
77028.0,31440.0,58500.0,Houston,Northeast
77029.0,30019.0,67800.0,Houston,Southeast
77030.0,71078.0,482700.0,Houston,Inner Loop
77031.0,38677.0,116100.0,Houston,Southwest
77032.0,23363.0,73600.0,Houston,Northeast
77033.0,28125.0,64000.0,Houston,Southeast
77034.0,44827.0,98000.0,Houston,Southeast
77035.0,37962.0,161400.0,Houston,Southwest
77036.0,27935.0,112000.0,Houston,Southwest
77037.0,36229.0,84800.0,Houston,Northeast
77038.0,39758.0,85900.0,Houston,Northwest
77039.0,37275.0,83500.0,Houston,Northeast
77040.0,53233.0,128600.0,Houston,Northwest
77041.0,74020.0,135800.0,Houston,Northwest
77042.0,45403.0,225300.0,Houston,Southwest
77043.0,52598.0,153800.0,Houston,Northwest
77044.0,74455.0,140700.0,Houston,Northeast
77045.0,39020.0,83700.0,Houston,Southwest
77046.0,98846.0,310900.0,Houston,Inner Loop
77047.0,50023.0,105700.0,Houston,Southeast
77048.0,40026.0,78300.0,Houston,Southeast
77049.0,52300.0,103400.0,Houston,Northeast
77050.0,49577.0,67500.0,Houston,Northeast
77051.0,23237.0,62400.0,Houston,Southeast
77054.0,43226.0,120900.0,Houston,Inner Loop
77055.0,45264.0,259700.0,Houston,Northwest
77056.0,92521.0,589300.0,Houston,Southwest
77057.0,52624.0,238400.0,Houston,Southwest
77058.0,49530.0,161700.0,Houston,Southeast
77059.0,132137.0,251600.0,Houston,Southeast
77060.0,26427.0,86400.0,Houston,Northeast
77061.0,33302.0,112800.0,Houston,Southeast
77062.0,83932.0,162700.0,Houston,Southeast
77063.0,46611.0,187000.0,Houston,Southwest
77064.0,64234.0,132200.0,Houston,Northwest
77065.0,56341.0,140800.0,Houston,Northwest
77066.0,60143.0,116500.0,Houston,Northwest
77067.0,38323.0,94400.0,Houston,Other Cities
77068.0,71932.0,162700.0,Houston,Northwest
77069.0,64498.0,198800.0,Houston,Northwest
77070.0,70632.0,154100.0,Houston,Northwest
77071.0,47521.0,120200.0,Houston,Southwest
77072.0,37143.0,94000.0,Houston,Southwest
77073.0,52273.0,106300.0,Houston,Northeast
77074.0,34421.0,101800.0,Houston,Southwest
77075.0,47644.0,114300.0,Houston,Southeast
77076.0,30403.0,83900.0,Houston,Northeast
77077.0,62784.0,206800.0,Houston,Southwest
77078.0,28338.0,67500.0,Houston,Northeast
77079.0,99650.0,337200.0,Houston,Southwest
77080.0,38407.0,138700.0,Houston,Northwest
77081.0,27191.0,201800.0,Houston,Southwest
77082.0,50894.0,125200.0,Houston,Southwest
77083.0,52075.0,116100.0,Houston,Southwest
77084.0,64652.0,124700.0,Houston,Northwest
77085.0,49872.0,102500.0,Houston,Southwest
77086.0,42581.0,92300.0,Houston,Northwest
77087.0,36792.0,85500.0,Houston,Other Cities
77088.0,42447.0,92500.0,Houston,Northwest
77089.0,65186.0,121000.0,Houston,Southeast
77090.0,37727.0,137800.0,Houston,Northwest
77091.0,28628.0,95800.0,Houston,Northwest
77092.0,37383.0,128800.0,Houston,Northwest
77093.0,33085.0,74300.0,Houston,Other Cities
77094.0,158398.0,308700.0,Houston,Southwest
77095.0,88555.0,168400.0,Houston,Northwest
77096.0,59556.0,264500.0,Houston,Southwest
77098.0,82017.0,428800.0,Houston,Inner Loop
77099.0,36755.0,95500.0,Houston,Southwest
77336.0,63814.0,159000.0,Huffman,Other Cities
77338.0,47534.0,102300.0,Humble,Other Cities
77339.0,72200.0,150300.0,Kingwood2,Other Cities
77345.0,121224.0,243200.0,Kingwood2,Other Cities
77346.0,87878.0,159100.0,Humble2,Other Cities
77373.0,67464.0,112800.0,Spring,Other Cities
77375.0,61941.0,145500.0,Tomball,Other Cities
77377.0,93884.0,205800.0,Tomball,Other Cities
77379.0,97864.0,193700.0,Spring2,Other Cities
77388.0,82059.0,151600.0,Spring2,Other Cities
77389.0,102205.0,202100.0,Spring2,Other Cities
77396.0,57440.0,110300.0,Humble3,Other Cities
77401.0,154053.0,645000.0,Bellaire,Other Cities
77429.0,98191.0,186100.0,Cypress2,Other Cities
77433.0,93884.0,184100.0,Cypress2,Other Cities
77447.0,65235.0,122300.0,Hockley,Other Cities
77449.0,66550.0,120100.0,Katy,Other Cities
77450.0,99732.0,203300.0,Katy,Other Cities
77484.0,64768.0,121900.0,Waller,Other Cities
77493.0,76393.0,153400.0,Katy2,Other Cities
77502.0,43893.0,91500.0,Pasadena,Other Cities
77503.0,46224.0,88000.0,Pasadena,Other Cities
77504.0,40642.0,121000.0,Pasadena,Other Cities
77505.0,73294.0,162400.0,Pasadena,Other Cities
77506.0,29965.0,71200.0,Pasadena,Other Cities
