,Zipcode,2011,2012,2013,2014,2015,2016,2017
0,77002.0,11528.0,11473.0,11602.0,11630.0,11922.0,11861.0,12370.0
1,77003.0,9782.0,10215.0,10617.0,10760.0,10438.0,10097.0,9646.0
2,77004.0,28743.0,29853.0,31593.0,34079.0,35739.0,36879.0,37642.0
3,77005.0,26122.0,25740.0,25752.0,26187.0,27187.0,27707.0,28233.0
4,77006.0,20489.0,19856.0,20573.0,21144.0,21795.0,21849.0,21945.0
5,77007.0,27651.0,29545.0,30868.0,31987.0,33029.0,35185.0,35822.0
6,77008.0,29776.0,29424.0,30807.0,31418.0,31868.0,32588.0,34491.0
7,77009.0,38686.0,39050.0,39725.0,39361.0,39260.0,38019.0,37751.0
8,77010.0,198.0,342.0,564.0,724.0,809.0,831.0,915.0
9,77011.0,20213.0,19396.0,19442.0,19136.0,19303.0,18558.0,18598.0
10,77012.0,21185.0,21619.0,21868.0,20991.0,20494.0,20534.0,20085.0
11,77013.0,19566.0,19448.0,19246.0,21176.0,21111.0,20743.0,20790.0
12,77014.0,29396.0,29673.0,30665.0,32008.0,33960.0,34060.0,35729.0
13,77015.0,53983.0,54386.0,57096.0,55635.0,57141.0,57398.0,57258.0
14,77016.0,26916.0,27634.0,27010.0,26558.0,26587.0,27799.0,29597.0
15,77017.0,33846.0,33470.0,33259.0,34204.0,33709.0,32583.0,32556.0
16,77018.0,27253.0,27627.0,26794.0,27020.0,27513.0,28144.0,28073.0
17,77019.0,19976.0,19450.0,19995.0,20350.0,20644.0,21067.0,21572.0
18,77020.0,27427.0,26381.0,26889.0,26777.0,26005.0,25908.0,25898.0
19,77021.0,25082.0,25640.0,25479.0,26036.0,26209.0,26374.0,26654.0
20,77022.0,28733.0,29821.0,28898.0,27500.0,28430.0,28014.0,27364.0
21,77023.0,30931.0,30696.0,29871.0,29102.0,28316.0,27973.0,28528.0
22,77024.0,34781.0,34622.0,35367.0,36791.0,37042.0,37867.0,38110.0
23,77025.0,25632.0,25935.0,26379.0,27413.0,28305.0,28103.0,28922.0
24,77026.0,24438.0,23963.0,22909.0,23325.0,22485.0,23030.0,22799.0
25,77027.0,15200.0,14745.0,15455.0,15510.0,15749.0,15498.0,16012.0
26,77028.0,17224.0,16551.0,15682.0,15076.0,14558.0,14457.0,15725.0
27,77029.0,17978.0,17570.0,18242.0,17812.0,17835.0,18281.0,17894.0
28,77030.0,11375.0,11184.0,11031.0,10664.0,10279.0,10735.0,10813.0
29,77031.0,16041.0,17822.0,18079.0,17711.0,18380.0,18182.0,18052.0
30,77032.0,13492.0,13517.0,13743.0,12788.0,13032.0,13475.0,14443.0
31,77033.0,29319.0,28001.0,27539.0,27254.0,27478.0,28190.0,29692.0
32,77034.0,34070.0,34856.0,35514.0,37925.0,39496.0,39420.0,40183.0
33,77035.0,36536.0,35481.0,35699.0,35989.0,36515.0,36973.0,38324.0
34,77036.0,64658.0,67788.0,68373.0,72950.0,75302.0,77770.0,76605.0
35,77037.0,20503.0,20191.0,20152.0,20934.0,20832.0,19856.0,20038.0
36,77038.0,26714.0,27529.0,28182.0,28082.0,28811.0,29388.0,30653.0
37,77039.0,26431.0,27339.0,28151.0,28711.0,29660.0,28644.0,27972.0
38,77040.0,42343.0,43182.0,44762.0,46898.0,47051.0,47690.0,48273.0
39,77041.0,35272.0,36537.0,36805.0,37168.0,36368.0,36129.0,35372.0
40,77042.0,33704.0,34456.0,36583.0,38335.0,39384.0,40628.0,42098.0
41,77043.0,21819.0,22940.0,23396.0,24883.0,25104.0,26505.0,25838.0
42,77044.0,30006.0,31067.0,33672.0,35696.0,37753.0,40389.0,42665.0
43,77045.0,31578.0,32155.0,32650.0,33820.0,33917.0,34426.0,36270.0
44,77046.0,879.0,1106.0,1122.0,967.0,961.0,1042.0,1029.0
45,77047.0,20596.0,21316.0,22334.0,23256.0,25073.0,26653.0,29410.0
46,77048.0,14750.0,15397.0,16025.0,16521.0,16428.0,16854.0,17143.0
47,77049.0,28464.0,29100.0,29460.0,30446.0,31111.0,32724.0,33749.0
48,77050.0,4883.0,4226.0,4188.0,4945.0,4805.0,4780.0,5031.0
49,77051.0,14887.0,14219.0,14782.0,15216.0,15141.0,15471.0,16661.0
50,77054.0,21246.0,21766.0,21668.0,22589.0,22862.0,22903.0,22517.0
51,77055.0,43977.0,43603.0,44281.0,44249.0,43691.0,44890.0,45003.0
52,77056.0,16920.0,16356.0,17263.0,17515.0,18685.0,19990.0,21732.0
53,77057.0,39402.0,39463.0,39903.0,40086.0,39905.0,39327.0,40130.0
54,77058.0,16416.0,16349.0,16099.0,16595.0,16881.0,17070.0,16669.0
55,77059.0,19246.0,18904.0,18867.0,18764.0,18079.0,18023.0,17374.0
56,77060.0,42532.0,44625.0,44284.0,43881.0,45648.0,44010.0,44549.0
57,77061.0,23865.0,24115.0,24760.0,25519.0,25155.0,25710.0,26276.0
58,77062.0,24612.0,25337.0,25866.0,25760.0,26448.0,27277.0,26583.0
59,77063.0,34456.0,36204.0,35961.0,36299.0,36772.0,37370.0,38931.0
60,77064.0,43142.0,43907.0,45932.0,46509.0,47361.0,47602.0,49578.0
61,77065.0,35550.0,35703.0,37344.0,38585.0,38652.0,38839.0,38820.0
62,77066.0,30946.0,31486.0,31208.0,32507.0,32860.0,32999.0,33796.0
63,77067.0,29101.0,29719.0,30930.0,31295.0,31966.0,32305.0,33489.0
64,77068.0,9528.0,10271.0,10306.0,10776.0,11015.0,11429.0,10897.0
65,77069.0,15107.0,15323.0,16088.0,16764.0,17286.0,18027.0,18238.0
66,77070.0,44116.0,45349.0,46640.0,48190.0,49622.0,49666.0,51080.0
67,77071.0,25403.0,26180.0,26520.0,27159.0,28003.0,27460.0,27981.0
68,77072.0,56006.0,54901.0,56199.0,59442.0,58871.0,61376.0,62162.0
69,77073.0,35108.0,36910.0,38406.0,41123.0,42085.0,42411.0,42780.0
70,77074.0,37097.0,35210.0,36939.0,36218.0,36764.0,37950.0,39915.0
71,77075.0,37457.0,38421.0,40010.0,41031.0,42569.0,42864.0,43586.0
72,77076.0,32364.0,33049.0,34851.0,34859.0,34467.0,35017.0,35144.0
73,77077.0,52457.0,53081.0,53158.0,53659.0,54931.0,56291.0,57757.0
74,77078.0,15698.0,15811.0,16753.0,15584.0,16325.0,16323.0,15820.0
75,77079.0,30755.0,30626.0,30669.0,31002.0,33013.0,33229.0,33577.0
76,77080.0,46869.0,48137.0,48734.0,47430.0,47080.0,46907.0,45665.0
77,77081.0,43957.0,42801.0,42725.0,44070.0,45039.0,46940.0,49059.0
78,77082.0,46372.0,49228.0,49920.0,52248.0,54555.0,55909.0,56641.0
79,77083.0,69723.0,71032.0,71810.0,73164.0,74174.0,75684.0,79408.0
80,77084.0,94005.0,98697.0,99266.0,101488.0,102437.0,103635.0,104582.0
81,77085.0,16337.0,16792.0,16404.0,16288.0,17571.0,17659.0,17981.0
82,77086.0,26464.0,27705.0,27720.0,28931.0,28886.0,28552.0,29506.0
83,77087.0,38187.0,38747.0,38191.0,37268.0,36855.0,36727.0,37200.0
84,77088.0,50811.0,51809.0,52924.0,53887.0,55593.0,55688.0,56716.0
85,77089.0,50194.0,50894.0,51184.0,51939.0,53320.0,52207.0,52699.0
86,77090.0,31871.0,33747.0,34201.0,34693.0,35958.0,38365.0,38361.0
87,77091.0,23776.0,23791.0,23361.0,23398.0,23442.0,23232.0,25277.0
88,77092.0,33737.0,34390.0,35332.0,35087.0,37022.0,38982.0,38476.0
89,77093.0,42323.0,42808.0,42639.0,42161.0,42735.0,43660.0,44428.0
90,77094.0,8533.0,8143.0,8547.0,8754.0,8897.0,8978.0,9439.0
91,77095.0,64457.0,65603.0,68458.0,69927.0,71473.0,71924.0,72081.0
92,77096.0,32206.0,33892.0,34891.0,36227.0,36145.0,37302.0,35465.0
93,77098.0,12188.0,12524.0,12720.0,13091.0,12271.0,13058.0,13444.0
94,77099.0,46591.0,46114.0,45234.0,46617.0,47166.0,50639.0,51905.0
95,77201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,77336.0,12345.0,12116.0,12022.0,11699.0,12044.0,11806.0,12397.0
97,77338.0,31596.0,33298.0,34410.0,36257.0,38017.0,38300.0,40335.0
98,77339.0,37917.0,38532.0,39840.0,40683.0,39863.0,40950.0,41403.0
99,77345.0,26860.0,28029.0,28239.0,29292.0,29394.0,29922.0,29090.0
100,77346.0,51262.0,53077.0,54627.0,57329.0,60066.0,61719.0,63233.0
101,77373.0,53728.0,55351.0,55927.0,55485.0,56942.0,59297.0,58255.0
102,77375.0,39264.0,40815.0,41919.0,43088.0,45003.0,46466.0,50525.0
103,77377.0,26964.0,29269.0,30791.0,32199.0,33849.0,35698.0,36758.0
104,77379.0,69492.0,71184.0,72579.0,72742.0,75775.0,78058.0,78226.0
105,77388.0,39818.0,40457.0,40175.0,41866.0,43339.0,44345.0,45841.0
106,77389.0,20329.0,22627.0,24561.0,26174.0,28542.0,30006.0,31883.0
107,77396.0,42873.0,43861.0,45778.0,47623.0,48587.0,50196.0,54352.0
108,77401.0,17452.0,17522.0,17874.0,18130.0,18510.0,18667.0,19062.0
109,77429.0,70472.0,71439.0,74313.0,76437.0,79535.0,82323.0,86399.0
110,77433.0,44962.0,51200.0,55563.0,60324.0,64493.0,68478.0,75008.0
111,77447.0,11941.0,12555.0,13542.0,13186.0,13616.0,15417.0,15246.0
112,77449.0,86302.0,90599.0,95615.0,99450.0,106175.0,112317.0,119204.0
113,77450.0,68220.0,69622.0,70538.0,73269.0,74246.0,74206.0,74631.0
114,77484.0,10630.0,10921.0,10898.0,11370.0,11512.0,10716.0,10710.0
115,77493.0,22815.0,22695.0,23628.0,24577.0,26013.0,27273.0,29984.0
116,77502.0,36035.0,36263.0,36712.0,37570.0,38390.0,38186.0,39040.0
117,77503.0,24154.0,23914.0,25103.0,25348.0,25083.0,25259.0,26171.0
118,77504.0,23968.0,24514.0,24922.0,24369.0,24052.0,23939.0,23327.0
119,77505.0,23232.0,23243.0,23550.0,23427.0,23481.0,24088.0,24230.0
120,77506.0,36795.0,36710.0,35875.0,36225.0,36436.0,37423.0,37736.0
121,77507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,77520.0,37660.0,37165.0,37735.0,37928.0,38348.0,37722.0,36694.0
123,77521.0,46372.0,49294.0,50406.0,53091.0,53991.0,56141.0,57125.0
124,77530.0,31322.0,30853.0,30368.0,30475.0,30175.0,30635.0,31119.0
125,77532.0,24270.0,26356.0,27208.0,28394.0,28430.0,29224.0,28320.0
