Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs,Cities,Houston Area Detail
77003.0,5292.0,272800.0,145300.0,344200.0,1209.0,Houston,Inner Loop
77375.0,17383.0,168300.0,131600.0,239900.0,1295.0,Tomball,Other Cities
77002.0,4237.0,233000.0,126500.0,299900.0,1439.0,Houston,Inner Loop
77091.0,11166.0,110900.0,69000.0,180700.0,751.0,Houston,Northwest
77024.0,16770.0,898100.0,442700.0,1615900.0,2046.0,Houston,Southwest
77036.0,31098.0,129600.0,80800.0,173700.0,746.0,Houston,Southwest
77046.0,755.0,348200.0,289100.0,433800.0,1883.0,Houston,Inner Loop
77049.0,11152.0,126400.0,87700.0,166800.0,1084.0,Houston,Northeast
77061.0,9982.0,116900.0,92700.0,157800.0,768.0,Houston,Southeast
77073.0,13669.0,119100.0,96000.0,148900.0,1130.0,Houston,Northeast
77076.0,10600.0,88800.0,74100.0,115700.0,811.0,Houston,Northeast
77079.0,14074.0,444100.0,232700.0,657600.0,1418.0,Houston,Southwest
77080.0,16489.0,171000.0,122600.0,247200.0,894.0,Houston,Northwest
77087.0,12044.0,89000.0,71400.0,113400.0,693.0,Houston,Other Cities
77092.0,15469.0,147100.0,88800.0,219300.0,796.0,Houston,Northwest
77095.0,25500.0,193100.0,154500.0,241100.0,1384.0,Houston,Northwest
77016.0,11094.0,60600.0,43500.0,82700.0,597.0,Houston,Northeast
77018.0,12146.0,342200.0,238100.0,468500.0,1143.0,Houston,Northwest
77029.0,6555.0,68500.0,52900.0,88400.0,678.0,Houston,Southeast
77044.0,13627.0,173400.0,98000.0,275700.0,1407.0,Houston,Northeast
77048.0,6844.0,71900.0,55800.0,108900.0,718.0,Houston,Southeast
77051.0,7274.0,73800.0,53800.0,109400.0,707.0,Houston,Southeast
77066.0,10845.0,125900.0,94500.0,165500.0,1085.0,Houston,Northwest
77054.0,15165.0,138800.0,90400.0,229000.0,1065.0,Houston,Inner Loop
77059.0,6138.0,277700.0,200800.0,373100.0,1605.0,Houston,Southeast
77062.0,10028.0,178900.0,144500.0,233300.0,1273.0,Houston,Southeast
77075.0,13638.0,125900.0,95400.0,150800.0,993.0,Houston,Southeast
77078.0,5190.0,74500.0,55900.0,93000.0,718.0,Houston,Northeast
77085.0,5312.0,106300.0,86700.0,129700.0,1062.0,Houston,Southwest
77484.0,3953.0,176200.0,82700.0,278000.0,818.0,Waller,Other Cities
77506.0,12025.0,73300.0,57300.0,87800.0,728.0,Pasadena,Other Cities
77520.0,13968.0,80200.0,51700.0,117600.0,775.0,Baytown,Other Cities
77532.0,10513.0,135300.0,90600.0,186900.0,1054.0,Crosby,Other Cities
