Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes),Cities,Houston Area Detail
77562.0,4770.0,124740.0,Highlands,Other Cities
77571.0,17912.0,428920.0,La Porte,Other Cities
77586.0,11171.0,282615.0,Seabrook,Other Cities
77587.0,6701.0,164635.0,South Houston,Other Cities
77598.0,12853.0,292610.0,Webster,Other Cities
77002.0,3145.0,51020.0,Houston,Inner Loop
77003.0,5141.0,119250.0,Houston,Inner Loop
77004.0,15239.0,297370.0,Houston,Inner Loop
77005.0,12575.0,195340.0,Houston,Inner Loop
77006.0,14771.0,266100.0,Houston,Inner Loop
77007.0,21724.0,428840.0,Houston,Inner Loop
77008.0,19746.0,398535.0,Houston,Inner Loop
77009.0,19108.0,436830.0,Houston,Inner Loop
77011.0,7373.0,178580.0,Houston,Inner Loop
77012.0,9666.0,268050.0,Houston,Inner Loop
77013.0,7854.0,188295.0,Houston,Northeast
77014.0,14205.0,414870.0,Houston,Northwest
77015.0,23600.0,572990.0,Houston,Northeast
77016.0,9641.0,289350.0,Houston,Northeast
77017.0,13288.0,340170.0,Houston,Southeast
77018.0,13985.0,313920.0,Houston,Northwest
77019.0,12855.0,224285.0,Houston,Inner Loop
77020.0,9710.0,265710.0,Houston,Inner Loop
77021.0,9909.0,225005.0,Houston,Inner Loop
77022.0,11583.0,298605.0,Houston,Northeast
77023.0,14039.0,316955.0,Houston,Inner Loop
77024.0,16516.0,312975.0,Houston,Southwest
77025.0,13807.0,284470.0,Houston,Inner Loop
77026.0,7036.0,220645.0,Houston,Inner Loop
77027.0,10569.0,194475.0,Houston,Inner Loop
77028.0,5662.0,157080.0,Houston,Northeast
77029.0,6266.0,154995.0,Houston,Southeast
77030.0,6170.0,112635.0,Houston,Inner Loop
77031.0,8868.0,228375.0,Houston,Southwest
77032.0,3964.0,115210.0,Houston,Northeast
77033.0,9201.0,243320.0,Houston,Southeast
77034.0,16426.0,440275.0,Houston,Southeast
77035.0,16116.0,409620.0,Houston,Southwest
77036.0,30473.0,750090.0,Houston,Southwest
77037.0,8087.0,235535.0,Houston,Northeast
77038.0,11214.0,331780.0,Houston,Northwest
77039.0,10905.0,315660.0,Houston,Northeast
77040.0,23826.0,610005.0,Houston,Northwest
77041.0,17362.0,455455.0,Houston,Northwest
77042.0,21625.0,513720.0,Houston,Southwest
77043.0,11800.0,278695.0,Houston,Northwest
77044.0,14478.0,432295.0,Houston,Northeast
77045.0,12464.0,347205.0,Houston,Southwest
77047.0,10753.0,287325.0,Houston,Southeast
77048.0,6071.0,168380.0,Houston,Southeast
77049.0,12600.0,328700.0,Houston,Northeast
77050.0,1767.0,50500.0,Houston,Northeast
77051.0,4399.0,105030.0,Houston,Southeast
77054.0,12427.0,245715.0,Houston,Inner Loop
77055.0,20956.0,462120.0,Houston,Northwest
77056.0,10113.0,183870.0,Houston,Southwest
77057.0,23830.0,502430.0,Houston,Southwest
77058.0,8921.0,194125.0,Houston,Southeast
77059.0,9219.0,232715.0,Houston,Southeast
77060.0,19252.0,528735.0,Houston,Northeast
77061.0,10824.0,290020.0,Houston,Southeast
77062.0,13214.0,284220.0,Houston,Southeast
77063.0,21145.0,492700.0,Houston,Southwest
77064.0,23695.0,605495.0,Houston,Northwest
77065.0,19307.0,494530.0,Houston,Northwest
77066.0,15475.0,432470.0,Houston,Northwest
77067.0,13292.0,350205.0,Houston,Other Cities
77068.0,5475.0,144110.0,Houston,Northwest
77069.0,8726.0,252925.0,Houston,Northwest
77070.0,25644.0,708240.0,Houston,Northwest
77071.0,12902.0,324785.0,Houston,Southwest
77072.0,26405.0,722615.0,Houston,Southwest
77073.0,17860.0,495815.0,Houston,Northeast
77074.0,17412.0,450155.0,Houston,Southwest
77075.0,18086.0,498565.0,Houston,Southeast
77076.0,13778.0,379510.0,Houston,Northeast
77077.0,30041.0,749335.0,Houston,Southwest
77078.0,5791.0,173640.0,Houston,Northeast
77079.0,15042.0,324560.0,Houston,Southwest
77080.0,23273.0,549315.0,Houston,Northwest
77081.0,20700.0,527985.0,Houston,Southwest
77082.0,26517.0,729210.0,Houston,Southwest
77083.0,33452.0,1005435.0,Houston,Southwest
77084.0,49838.0,1464220.0,Houston,Northwest
77085.0,7255.0,200700.0,Houston,Southwest
77086.0,11487.0,342780.0,Houston,Northwest
77087.0,15374.0,385070.0,Houston,Other Cities
77088.0,21302.0,605045.0,Houston,Northwest
77089.0,26218.0,756420.0,Houston,Southeast
