Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k
77493,0.0,20.0,107.0,164.0,247.0,244.0,363.0,235.0,397.0,457.0,2113.0,1713.0,950.0,80.0
77502,63.0,199.0,549.0,686.0,763.0,883.0,1067.0,920.0,586.0,635.0,3086.0,811.0,171.0,274.0
77503,24.0,170.0,276.0,372.0,558.0,640.0,842.0,790.0,758.0,494.0,2178.0,422.0,50.0,85.0
77504,22.0,134.0,337.0,274.0,397.0,616.0,1239.0,1229.0,924.0,644.0,1823.0,510.0,293.0,92.0
77505,0.0,40.0,163.0,150.0,221.0,607.0,403.0,783.0,458.0,578.0,1906.0,1701.0,1081.0,56.0
77506,10.0,362.0,486.0,854.0,746.0,1292.0,1543.0,1287.0,1146.0,710.0,1641.0,281.0,28.0,145.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,26.0,397.0,711.0,847.0,909.0,1190.0,1092.0,1017.0,1042.0,1092.0,2280.0,873.0,324.0,181.0
77521,78.0,63.0,363.0,511.0,851.0,1336.0,1560.0,1290.0,1374.0,1228.0,4314.0,2315.0,1296.0,326.0
77530,0.0,125.0,359.0,376.0,574.0,848.0,982.0,712.0,626.0,580.0,2816.0,692.0,240.0,88.0
77532,0.0,111.0,400.0,513.0,361.0,649.0,540.0,781.0,512.0,525.0,2565.0,1322.0,433.0,150.0
77536,0.0,92.0,276.0,315.0,462.0,536.0,742.0,384.0,396.0,405.0,3323.0,2273.0,1151.0,162.0
77547,16.0,120.0,112.0,207.0,228.0,219.0,120.0,89.0,162.0,257.0,943.0,98.0,0.0,180.0
77562,16.0,104.0,153.0,256.0,307.0,172.0,286.0,251.0,262.0,232.0,929.0,460.0,105.0,81.0
77571,22.0,174.0,282.0,427.0,806.0,884.0,603.0,578.0,660.0,779.0,3644.0,2390.0,662.0,208.0
77586,0.0,12.0,34.0,54.0,235.0,280.0,491.0,743.0,618.0,529.0,1560.0,1265.0,2178.0,67.0
77587,12.0,95.0,333.0,411.0,339.0,613.0,508.0,306.0,309.0,341.0,1088.0,261.0,63.0,153.0
77598,0.0,20.0,67.0,74.0,202.0,494.0,1069.0,1272.0,1609.0,1221.0,2881.0,682.0,242.0,112.0
77002,8.0,22.0,51.0,0.0,166.0,123.0,147.0,57.0,160.0,113.0,1074.0,533.0,383.0,29.0
77003,23.0,188.0,158.0,221.0,487.0,320.0,346.0,175.0,166.0,283.0,557.0,598.0,448.0,128.0
77004,43.0,222.0,423.0,390.0,904.0,1316.0,1290.0,1189.0,786.0,437.0,2137.0,1226.0,1726.0,272.0
77005,0.0,0.0,3.0,23.0,11.0,132.0,318.0,176.0,252.0,126.0,1294.0,1346.0,5595.0,110.0
77006,12.0,0.0,50.0,87.0,120.0,595.0,708.0,1344.0,1020.0,692.0,2368.0,1696.0,2432.0,110.0
77007,7.0,93.0,217.0,284.0,376.0,498.0,406.0,724.0,799.0,691.0,3664.0,2537.0,4583.0,180.0
77008,16.0,118.0,358.0,378.0,501.0,688.0,801.0,1319.0,1118.0,802.0,2629.0,1880.0,3452.0,308.0
77009,149.0,321.0,615.0,855.0,1052.0,1111.0,1626.0,904.0,943.0,804.0,2859.0,1326.0,1195.0,303.0
77010,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0
77011,23.0,212.0,486.0,737.0,702.0,788.0,634.0,362.0,359.0,343.0,667.0,16.0,76.0,223.0
77012,87.0,223.0,316.0,379.0,533.0,1028.0,855.0,715.0,512.0,202.0,938.0,165.0,82.0,177.0
77013,28.0,122.0,292.0,226.0,330.0,441.0,536.0,582.0,812.0,479.0,1221.0,285.0,50.0,21.0
77014,28.0,31.0,133.0,295.0,262.0,1050.0,891.0,1137.0,1100.0,776.0,2007.0,1397.0,632.0,71.0
77015,11.0,322.0,728.0,994.0,974.0,1443.0,1914.0,1578.0,1407.0,1505.0,4111.0,896.0,303.0,218.0
77016,86.0,451.0,703.0,1082.0,1109.0,812.0,910.0,699.0,459.0,605.0,1689.0,221.0,49.0,484.0
77017,49.0,182.0,511.0,618.0,752.0,1178.0,1123.0,828.0,1009.0,533.0,2449.0,579.0,20.0,109.0
77018,49.0,211.0,266.0,358.0,792.0,939.0,1189.0,887.0,570.0,313.0,1713.0,1788.0,1642.0,248.0
77019,15.0,66.0,170.0,84.0,104.0,119.0,355.0,551.0,521.0,284.0,2683.0,1516.0,3389.0,149.0
77020,114.0,390.0,538.0,880.0,1163.0,761.0,912.0,638.0,384.0,523.0,889.0,298.0,141.0,283.0
77021,59.0,262.0,798.0,678.0,608.0,795.0,739.0,898.0,808.0,619.0,2179.0,587.0,493.0,220.0
77022,61.0,428.0,673.0,1033.0,650.0,811.0,1017.0,855.0,758.0,777.0,1624.0,240.0,105.0,199.0
77023,30.0,175.0,384.0,524.0,991.0,1345.0,1453.0,954.0,604.0,352.0,1640.0,509.0,272.0,229.0
77024,6.0,39.0,70.0,135.0,227.0,255.0,548.0,487.0,849.0,425.0,2848.0,2000.0,6222.0,164.0
77025,13.0,20.0,49.0,123.0,373.0,612.0,1065.0,1099.0,984.0,775.0,2448.0,1100.0,2772.0,159.0
77026,28.0,568.0,624.0,737.0,1010.0,1194.0,1165.0,655.0,676.0,278.0,682.0,180.0,24.0,228.0
77027,0.0,0.0,10.0,9.0,41.0,41.0,170.0,813.0,896.0,616.0,2417.0,1312.0,2214.0,70.0
77028,128.0,305.0,940.0,570.0,434.0,567.0,329.0,361.0,534.0,366.0,684.0,228.0,24.0,149.0
77029,17.0,203.0,537.0,717.0,570.0,444.0,499.0,591.0,383.0,516.0,917.0,16.0,82.0,139.0
77030,0.0,0.0,9.0,44.0,111.0,86.0,170.0,448.0,254.0,302.0,1577.0,893.0,1186.0,95.0
77031,0.0,16.0,135.0,107.0,297.0,850.0,718.0,547.0,458.0,286.0,1359.0,781.0,188.0,18.0
77032,9.0,154.0,397.0,238.0,145.0,300.0,187.0,398.0,568.0,536.0,885.0,90.0,19.0,178.0
77033,35.0,541.0,864.0,824.0,755.0,848.0,509.0,617.0,982.0,820.0,1509.0,187.0,65.0,326.0
77034,0.0,61.0,167.0,543.0,690.0,964.0,1051.0,1055.0,964.0,1317.0,3007.0,1192.0,230.0,116.0
77035,11.0,194.0,252.0,256.0,732.0,1488.0,2075.0,1463.0,1129.0,672.0,2652.0,1253.0,703.0,156.0
77036,18.0,233.0,373.0,666.0,2036.0,3693.0,4591.0,3249.0,2192.0,1556.0,2824.0,705.0,278.0,476.0
77037,0.0,134.0,299.0,294.0,291.0,519.0,342.0,467.0,468.0,323.0,1350.0,359.0,166.0,35.0
77038,0.0,23.0,111.0,191.0,513.0,604.0,585.0,396.0,643.0,547.0,2683.0,816.0,128.0,88.0
77039,59.0,139.0,372.0,347.0,510.0,757.0,1062.0,665.0,521.0,400.0,1660.0,393.0,152.0,50.0
77040,24.0,56.0,128.0,430.0,457.0,1098.0,1061.0,1213.0,1538.0,1085.0,4982.0,2117.0,1090.0,160.0
