Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k,Cost from $3k and more
77586,0.0,30.0,67.0,163.0,220.0,296.0,549.0,642.0,817.0,632.0,1703.0,1497.0,1110.0,303.0,502.0
77587,25.0,194.0,334.0,413.0,446.0,231.0,485.0,508.0,368.0,311.0,926.0,190.0,20.0,0.0,10.0
77598,0.0,41.0,90.0,63.0,214.0,298.0,735.0,1183.0,1416.0,1199.0,3997.0,723.0,206.0,90.0,45.0
77002,0.0,0.0,43.0,88.0,179.0,136.0,137.0,145.0,22.0,68.0,1172.0,657.0,305.0,89.0,139.0
77003,21.0,117.0,135.0,203.0,503.0,244.0,163.0,140.0,213.0,246.0,880.0,798.0,520.0,127.0,61.0
77004,123.0,202.0,389.0,462.0,537.0,877.0,1235.0,991.0,792.0,605.0,2240.0,1990.0,1377.0,630.0,460.0
77005,14.0,38.0,21.0,47.0,74.0,66.0,157.0,433.0,268.0,225.0,1182.0,1230.0,1236.0,1007.0,3756.0
77006,0.0,0.0,68.0,71.0,74.0,453.0,558.0,760.0,1083.0,1050.0,2690.0,2263.0,1069.0,841.0,1078.0
77007,30.0,18.0,131.0,92.0,299.0,280.0,241.0,576.0,724.0,812.0,3728.0,3338.0,3056.0,2223.0,2608.0
77008,51.0,96.0,149.0,303.0,479.0,381.0,444.0,831.0,912.0,1162.0,3524.0,2376.0,2068.0,1218.0,1511.0
77009,152.0,286.0,657.0,733.0,814.0,1244.0,1303.0,843.0,1070.0,1036.0,2315.0,1643.0,827.0,401.0,617.0
77010,0.0,0.0,0.0,0.0,0.0,26.0,9.0,6.0,0.0,0.0,9.0,55.0,41.0,106.0,277.0
77011,18.0,140.0,472.0,515.0,621.0,806.0,592.0,433.0,441.0,385.0,772.0,53.0,0.0,22.0,0.0
77012,53.0,95.0,385.0,610.0,477.0,700.0,1029.0,984.0,369.0,412.0,805.0,50.0,9.0,3.0,0.0
77013,10.0,172.0,330.0,232.0,329.0,617.0,584.0,805.0,669.0,675.0,1297.0,187.0,17.0,0.0,0.0
77014,13.0,182.0,198.0,195.0,290.0,689.0,1273.0,859.0,977.0,1316.0,3448.0,1584.0,197.0,31.0,19.0
77015,0.0,291.0,737.0,956.0,1271.0,1288.0,1774.0,1898.0,1787.0,1595.0,4265.0,1049.0,226.0,18.0,36.0
77016,76.0,729.0,1146.0,957.0,808.0,876.0,843.0,687.0,930.0,527.0,1183.0,71.0,9.0,15.0,3.0
77017,48.0,181.0,485.0,640.0,741.0,930.0,1132.0,1117.0,891.0,818.0,2511.0,362.0,45.0,0.0,7.0
77018,30.0,93.0,252.0,370.0,619.0,669.0,1043.0,832.0,778.0,470.0,1613.0,1447.0,972.0,552.0,924.0
77019,9.0,130.0,153.0,211.0,143.0,173.0,313.0,457.0,553.0,349.0,2009.0,2210.0,1309.0,882.0,1842.0
77020,136.0,410.0,719.0,916.0,924.0,923.0,1044.0,759.0,598.0,477.0,995.0,269.0,41.0,0.0,26.0
77021,95.0,393.0,869.0,574.0,595.0,879.0,794.0,1133.0,746.0,776.0,2139.0,671.0,267.0,101.0,192.0
77022,22.0,378.0,1039.0,1125.0,860.0,947.0,864.0,936.0,572.0,549.0,1457.0,198.0,36.0,0.0,0.0
77023,48.0,134.0,436.0,633.0,766.0,1109.0,1299.0,1029.0,1060.0,517.0,1616.0,484.0,101.0,61.0,17.0
77024,25.0,28.0,47.0,118.0,137.0,347.0,392.0,326.0,496.0,563.0,2798.0,2348.0,1472.0,1393.0,4489.0
77025,18.0,44.0,137.0,80.0,279.0,394.0,824.0,869.0,866.0,1144.0,3183.0,1856.0,905.0,615.0,1516.0
77026,86.0,445.0,779.0,726.0,863.0,1362.0,1549.0,591.0,516.0,402.0,491.0,101.0,34.0,0.0,0.0
77027,29.0,24.0,30.0,43.0,75.0,51.0,99.0,318.0,496.0,517.0,2653.0,1967.0,838.0,464.0,1085.0
77028,132.0,456.0,543.0,697.0,546.0,234.0,341.0,459.0,333.0,412.0,647.0,43.0,8.0,0.0,0.0
77029,37.0,197.0,531.0,544.0,418.0,575.0,710.0,629.0,374.0,366.0,999.0,130.0,0.0,0.0,0.0
77030,0.0,51.0,15.0,0.0,95.0,55.0,113.0,194.0,249.0,286.0,1364.0,1039.0,288.0,295.0,662.0
77031,0.0,43.0,207.0,149.0,282.0,401.0,667.0,972.0,730.0,392.0,1150.0,799.0,37.0,0.0,14.0
77032,38.0,210.0,332.0,317.0,154.0,209.0,167.0,308.0,541.0,430.0,1026.0,138.0,28.0,3.0,0.0
77033,61.0,598.0,1160.0,1047.0,673.0,454.0,595.0,500.0,717.0,735.0,1717.0,126.0,22.0,10.0,0.0
77034,20.0,115.0,433.0,560.0,338.0,572.0,953.0,1681.0,1136.0,903.0,3957.0,1084.0,219.0,17.0,0.0
77035,0.0,185.0,453.0,328.0,578.0,1318.0,2055.0,2063.0,1169.0,862.0,2401.0,1222.0,631.0,180.0,94.0
77036,106.0,263.0,606.0,654.0,1505.0,3430.0,5485.0,4670.0,3224.0,1790.0,3291.0,792.0,152.0,52.0,40.0
77037,20.0,312.0,375.0,611.0,296.0,548.0,384.0,327.0,297.0,558.0,1274.0,219.0,18.0,0.0,0.0
77038,44.0,147.0,275.0,260.0,600.0,554.0,622.0,687.0,537.0,714.0,2910.0,543.0,77.0,0.0,0.0
77039,19.0,188.0,618.0,574.0,482.0,500.0,702.0,645.0,722.0,473.0,1851.0,375.0,66.0,0.0,23.0
77040,4.0,26.0,220.0,623.0,827.0,943.0,1574.0,1154.0,1622.0,1849.0,5649.0,2019.0,538.0,177.0,144.0
77041,8.0,132.0,282.0,411.0,588.0,541.0,666.0,536.0,310.0,625.0,3601.0,1845.0,611.0,317.0,811.0
77042,79.0,20.0,79.0,220.0,302.0,726.0,1291.0,2284.0,2366.0,2455.0,5812.0,1112.0,542.0,625.0,656.0
77043,22.0,93.0,151.0,321.0,419.0,595.0,732.0,798.0,974.0,921.0,1836.0,1142.0,342.0,231.0,72.0
77044,23.0,168.0,138.0,415.0,333.0,508.0,376.0,293.0,613.0,536.0,3544.0,1847.0,1422.0,817.0,818.0
77045,0.0,319.0,950.0,733.0,878.0,728.0,566.0,313.0,803.0,829.0,2722.0,672.0,122.0,0.0,48.0
77046,7.0,0.0,0.0,0.0,0.0,23.0,13.0,29.0,0.0,0.0,137.0,365.0,164.0,15.0,29.0
77047,25.0,241.0,270.0,412.0,521.0,361.0,390.0,299.0,410.0,527.0,3405.0,1604.0,148.0,0.0,19.0
77048,30.0,337.0,438.0,464.0,473.0,436.0,650.0,326.0,396.0,344.0,1054.0,279.0,48.0,30.0,0.0
77049,36.0,170.0,352.0,303.0,433.0,325.0,491.0,500.0,1173.0,861.0,3194.0,1554.0,243.0,87.0,32.0
77050,9.0,26.0,124.0,262.0,87.0,155.0,157.0,85.0,115.0,74.0,219.0,48.0,0.0,8.0,0.0
77051,39.0,348.0,450.0,482.0,427.0,307.0,516.0,466.0,494.0,469.0,1231.0,128.0,32.0,0.0,0.0
77054,31.0,0.0,84.0,121.0,118.0,272.0,794.0,1244.0,1702.0,1480.0,4807.0,1539.0,299.0,54.0,0.0
77055,19.0,117.0,303.0,281.0,364.0,860.0,1270.0,2056.0,1762.0,1144.0,2892.0,1358.0,571.0,449.0,1502.0
77056,11.0,0.0,94.0,10.0,72.0,83.0,141.0,207.0,359.0,520.0,2763.0,2079.0,1332.0,794.0,1760.0
77057,0.0,72.0,101.0,213.0,384.0,602.0,1783.0,1826.0,2106.0,1461.0,5740.0,2204.0,1168.0,603.0,1559.0
77058,0.0,52.0,41.0,94.0,184.0,358.0,773.0,818.0,961.0,1057.0,2459.0,889.0,345.0,136.0,34.0
77059,20.0,0.0,74.0,111.0,195.0,137.0,236.0,239.0,218.0,330.0,1160.0,1090.0,931.0,438.0,745.0
77060,56.0,260.0,361.0,346.0,724.0,2110.0,2386.0,2284.0,1496.0,952.0,2402.0,354.0,32.0,13.0,0.0
77061,0.0,114.0,153.0,263.0,425.0,1383.0,1442.0,1383.0,889.0,383.0,1629.0,534.0,12.0,17.0,28.0
77062,0.0,77.0,138.0,423.0,364.0,340.0,306.0,692.0,637.0,345.0,2823.0,2293.0,950.0,169.0,221.0
77063,69.0,49.0,73.0,172.0,253.0,577.0,1620.0,2121.0,2959.0,1504.0,5874.0,1642.0,550.0,464.0,333.0
