Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions
77562,29.0,73.0,87.0,0.0,55.0,63.0,32.0,88.0,144.0,227.0,189.0,243.0,139.0,443.0,236.0,198.0,127.0,107.0,52.0,10.0,14.0,54.0,13.0,0.0
77571,196.0,142.0,29.0,46.0,100.0,54.0,11.0,59.0,246.0,179.0,282.0,390.0,670.0,2491.0,1839.0,981.0,477.0,520.0,237.0,97.0,44.0,30.0,28.0,77.0
77586,30.0,0.0,0.0,28.0,12.0,8.0,41.0,38.0,18.0,29.0,111.0,117.0,16.0,568.0,654.0,954.0,640.0,1476.0,439.0,328.0,159.0,215.0,100.0,38.0
77587,141.0,55.0,19.0,57.0,0.0,0.0,97.0,159.0,181.0,361.0,508.0,194.0,319.0,461.0,173.0,100.0,19.0,52.0,0.0,9.0,0.0,11.0,11.0,13.0
77598,0.0,21.0,0.0,25.0,0.0,48.0,29.0,103.0,19.0,25.0,4.0,41.0,91.0,781.0,427.0,93.0,19.0,48.0,20.0,13.0,15.0,14.0,21.0,21.0
77002,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,98.0,44.0,13.0,54.0,72.0,195.0,75.0,54.0,24.0,10.0,27.0,0.0
77003,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,117.0,103.0,137.0,120.0,142.0,56.0,43.0,84.0,126.0,366.0,168.0,73.0,13.0,0.0,0.0,0.0
77004,14.0,8.0,0.0,0.0,55.0,18.0,11.0,86.0,46.0,75.0,115.0,224.0,184.0,431.0,149.0,304.0,334.0,637.0,446.0,444.0,170.0,89.0,0.0,47.0
77005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,0.0,0.0,8.0,40.0,200.0,22.0,115.0,50.0,100.0,150.0,259.0,550.0,1862.0,1430.0,2014.0
77006,10.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,18.0,65.0,58.0,51.0,201.0,188.0,207.0,176.0,524.0,365.0,920.0,663.0,647.0,102.0,75.0
77007,49.0,0.0,0.0,0.0,0.0,0.0,25.0,44.0,14.0,72.0,74.0,84.0,27.0,170.0,214.0,255.0,237.0,1105.0,1426.0,1917.0,1092.0,666.0,188.0,266.0
77008,49.0,20.0,13.0,5.0,0.0,0.0,0.0,0.0,14.0,58.0,100.0,42.0,51.0,201.0,274.0,390.0,296.0,1239.0,1460.0,1858.0,890.0,601.0,250.0,159.0
77009,30.0,0.0,17.0,18.0,23.0,92.0,0.0,51.0,164.0,215.0,356.0,458.0,485.0,819.0,549.0,627.0,261.0,779.0,851.0,840.0,357.0,168.0,38.0,7.0
77010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77011,0.0,0.0,0.0,0.0,37.0,60.0,40.0,129.0,165.0,317.0,368.0,497.0,214.0,227.0,13.0,98.0,32.0,54.0,11.0,0.0,0.0,0.0,0.0,0.0
77012,32.0,31.0,11.0,111.0,0.0,33.0,18.0,189.0,101.0,358.0,297.0,463.0,291.0,497.0,40.0,21.0,33.0,13.0,18.0,32.0,0.0,15.0,0.0,0.0
77013,39.0,138.0,22.0,25.0,55.0,44.0,9.0,40.0,104.0,203.0,242.0,429.0,253.0,318.0,181.0,82.0,49.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0
77014,77.0,13.0,27.0,0.0,80.0,63.0,19.0,68.0,144.0,279.0,240.0,272.0,269.0,1185.0,1167.0,648.0,136.0,108.0,119.0,0.0,0.0,0.0,0.0,0.0
77015,221.0,114.0,95.0,90.0,224.0,177.0,116.0,309.0,420.0,603.0,1002.0,1010.0,947.0,2074.0,633.0,537.0,192.0,246.0,118.0,0.0,23.0,0.0,0.0,27.0
77016,169.0,61.0,128.0,179.0,183.0,388.0,319.0,626.0,833.0,853.0,972.0,673.0,334.0,350.0,86.0,65.0,109.0,24.0,7.0,11.0,21.0,10.0,0.0,10.0
77017,63.0,74.0,0.0,0.0,56.0,13.0,43.0,138.0,215.0,761.0,829.0,869.0,710.0,914.0,420.0,214.0,80.0,82.0,0.0,0.0,6.0,0.0,0.0,9.0
77018,83.0,28.0,31.0,21.0,18.0,72.0,27.0,56.0,27.0,28.0,94.0,74.0,111.0,418.0,394.0,866.0,738.0,1322.0,949.0,1146.0,277.0,239.0,59.0,65.0
77019,29.0,0.0,0.0,8.0,0.0,19.0,0.0,4.0,0.0,14.0,10.0,16.0,15.0,201.0,136.0,215.0,279.0,355.0,474.0,828.0,557.0,360.0,272.0,1062.0
77020,35.0,6.0,45.0,92.0,57.0,77.0,44.0,480.0,561.0,664.0,598.0,299.0,355.0,298.0,88.0,168.0,94.0,169.0,34.0,18.0,0.0,5.0,0.0,0.0
77021,81.0,37.0,15.0,47.0,42.0,100.0,103.0,338.0,318.0,412.0,363.0,421.0,272.0,272.0,116.0,69.0,155.0,219.0,190.0,166.0,147.0,144.0,8.0,9.0
77022,17.0,12.0,29.0,7.0,53.0,74.0,28.0,394.0,448.0,349.0,561.0,508.0,310.0,803.0,224.0,122.0,28.0,100.0,14.0,19.0,8.0,5.0,8.0,0.0
77023,76.0,7.0,0.0,34.0,0.0,7.0,0.0,64.0,71.0,237.0,353.0,579.0,685.0,782.0,305.0,441.0,179.0,328.0,122.0,88.0,28.0,0.0,11.0,0.0
77024,16.0,11.0,0.0,28.0,0.0,0.0,0.0,13.0,52.0,36.0,137.0,198.0,259.0,264.0,105.0,292.0,197.0,406.0,360.0,693.0,940.0,1759.0,1469.0,3011.0
77025,63.0,10.0,0.0,11.0,14.0,0.0,13.0,37.0,37.0,82.0,102.0,74.0,61.0,142.0,192.0,214.0,110.0,631.0,507.0,1235.0,726.0,568.0,411.0,130.0
77026,54.0,0.0,40.0,290.0,244.0,256.0,146.0,251.0,376.0,314.0,199.0,371.0,151.0,285.0,89.0,106.0,26.0,46.0,7.0,4.0,13.0,5.0,0.0,10.0
77027,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,24.0,16.0,74.0,42.0,107.0,70.0,190.0,81.0,61.0,104.0,70.0,417.0,332.0,597.0,419.0,433.0
