Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions,House Value from 1.5 millions to 2 millions,House Value more than 2 millions
77003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,55.0,29.0,120.0,51.0,177.0,77.0,124.0,56.0,130.0,392.0,657.0,105.0,13.0,0.0,0.0,0.0,19.0
77375,185.0,8.0,220.0,40.0,0.0,221.0,6.0,11.0,88.0,72.0,55.0,325.0,169.0,1029.0,1704.0,2218.0,1112.0,1475.0,767.0,691.0,304.0,547.0,116.0,102.0,18.0,38.0
77002,18.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,101.0,79.0,21.0,69.0,29.0,137.0,162.0,115.0,36.0,39.0,18.0,0.0,0.0,0.0
77091,80.0,33.0,33.0,21.0,39.0,127.0,31.0,179.0,106.0,378.0,241.0,230.0,262.0,502.0,280.0,356.0,314.0,319.0,188.0,172.0,8.0,26.0,2.0,0.0,0.0,32.0
77024,80.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,48.0,21.0,106.0,89.0,193.0,192.0,205.0,223.0,340.0,212.0,647.0,368.0,1451.0,1517.0,1657.0,976.0,1869.0
77036,29.0,115.0,115.0,149.0,88.0,29.0,50.0,87.0,133.0,345.0,148.0,125.0,178.0,852.0,823.0,663.0,468.0,440.0,175.0,101.0,18.0,16.0,0.0,33.0,0.0,11.0
77046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,83.0,37.0,31.0,0.0,0.0,0.0,0.0
77049,84.0,76.0,19.0,52.0,18.0,24.0,7.0,125.0,192.0,301.0,494.0,477.0,495.0,1101.0,951.0,1285.0,502.0,530.0,177.0,46.0,16.0,41.0,0.0,26.0,0.0,0.0
77061,41.0,40.0,0.0,25.0,22.0,17.0,25.0,62.0,67.0,71.0,79.0,236.0,235.0,851.0,365.0,342.0,187.0,201.0,33.0,40.0,17.0,3.0,0.0,0.0,0.0,32.0
77073,89.0,43.0,51.0,16.0,44.0,57.0,46.0,77.0,25.0,166.0,314.0,514.0,541.0,2025.0,1346.0,1074.0,418.0,170.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0
77076,221.0,107.0,43.0,8.0,39.0,0.0,15.0,113.0,202.0,204.0,476.0,987.0,345.0,1092.0,170.0,337.0,51.0,94.0,8.0,31.0,0.0,13.0,30.0,0.0,0.0,7.0
77079,91.0,10.0,0.0,24.0,0.0,11.0,0.0,15.0,50.0,0.0,18.0,82.0,107.0,286.0,373.0,491.0,159.0,416.0,285.0,1049.0,1161.0,2125.0,745.0,428.0,25.0,6.0
77080,48.0,0.0,16.0,15.0,32.0,0.0,8.0,34.0,54.0,100.0,353.0,66.0,178.0,695.0,762.0,834.0,624.0,822.0,757.0,493.0,142.0,62.0,17.0,0.0,0.0,14.0
77087,83.0,12.0,57.0,27.0,22.0,152.0,30.0,132.0,286.0,461.0,666.0,878.0,764.0,942.0,498.0,246.0,100.0,36.0,33.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
77092,183.0,79.0,39.0,7.0,0.0,0.0,34.0,110.0,238.0,130.0,232.0,264.0,234.0,521.0,565.0,657.0,316.0,640.0,425.0,244.0,94.0,57.0,30.0,43.0,0.0,0.0
77095,160.0,68.0,49.0,41.0,0.0,22.0,0.0,16.0,17.0,102.0,49.0,120.0,153.0,1124.0,2064.0,3092.0,2765.0,4585.0,2011.0,1282.0,379.0,28.0,0.0,0.0,0.0,23.0
77016,172.0,90.0,82.0,129.0,86.0,282.0,449.0,750.0,1015.0,730.0,667.0,750.0,297.0,344.0,137.0,104.0,42.0,19.0,10.0,22.0,4.0,16.0,4.0,0.0,0.0,0.0
77018,133.0,33.0,37.0,50.0,0.0,92.0,8.0,34.0,6.0,0.0,91.0,60.0,55.0,152.0,82.0,208.0,237.0,732.0,910.0,1785.0,1173.0,892.0,475.0,88.0,12.0,0.0
77029,53.0,22.0,41.0,43.0,18.0,52.0,123.0,332.0,512.0,548.0,431.0,381.0,244.0,442.0,51.0,17.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0
77044,141.0,80.0,68.0,110.0,61.0,64.0,9.0,199.0,202.0,285.0,422.0,404.0,353.0,955.0,574.0,780.0,700.0,999.0,1129.0,1014.0,558.0,153.0,14.0,0.0,0.0,41.0
77048,37.0,4.0,18.0,47.0,0.0,31.0,164.0,348.0,436.0,645.0,398.0,311.0,179.0,258.0,162.0,218.0,169.0,9.0,74.0,61.0,8.0,17.0,0.0,0.0,0.0,19.0
77051,10.0,3.0,37.0,11.0,37.0,104.0,88.0,215.0,335.0,329.0,251.0,231.0,140.0,276.0,238.0,176.0,11.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
77066,117.0,55.0,65.0,15.0,0.0,0.0,0.0,32.0,126.0,164.0,428.0,604.0,442.0,1517.0,1137.0,1139.0,494.0,326.0,316.0,148.0,27.0,40.0,8.0,12.0,0.0,0.0
77054,16.0,12.0,16.0,12.0,0.0,30.0,46.0,0.0,66.0,48.0,21.0,232.0,57.0,331.0,210.0,134.0,121.0,262.0,297.0,75.0,0.0,19.0,0.0,0.0,0.0,0.0
77059,49.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,16.0,9.0,0.0,18.0,0.0,85.0,227.0,561.0,334.0,912.0,780.0,1345.0,539.0,327.0,83.0,0.0,7.0,12.0
77062,72.0,0.0,23.0,0.0,5.0,4.0,0.0,16.0,17.0,0.0,80.0,51.0,126.0,683.0,1067.0,1481.0,1252.0,1285.0,648.0,467.0,196.0,117.0,30.0,14.0,0.0,10.0
77075,152.0,81.0,61.0,49.0,62.0,0.0,0.0,118.0,52.0,247.0,260.0,475.0,290.0,1522.0,1744.0,926.0,326.0,378.0,44.0,21.0,30.0,16.0,0.0,5.0,0.0,0.0
77078,60.0,10.0,0.0,52.0,0.0,157.0,42.0,181.0,342.0,321.0,546.0,362.0,134.0,253.0,154.0,122.0,0.0,4.0,30.0,38.0,0.0,0.0,0.0,0.0,0.0,9.0
77085,61.0,18.0,9.0,0.0,30.0,0.0,19.0,34.0,149.0,124.0,270.0,256.0,541.0,1048.0,537.0,318.0,96.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77506,55.0,20.0,29.0,29.0,20.0,53.0,96.0,483.0,453.0,688.0,942.0,619.0,296.0,329.0,107.0,199.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,174.0,86.0,40.0,69.0,160.0,159.0,261.0,743.0,464.0,736.0,638.0,642.0,502.0,906.0,392.0,345.0,144.0,301.0,131.0,106.0,0.0,14.0,0.0,31.0,0.0,40.0
77532,111.0,127.0,104.0,118.0,57.0,125.0,7.0,237.0,326.0,219.0,289.0,221.0,542.0,1015.0,1083.0,1125.0,447.0,686.0,612.0,326.0,19.0,67.0,10.0,18.0,0.0,0.0
77586,50.0,12.0,32.0,13.0,14.0,5.0,13.0,15.0,71.0,24.0,72.0,153.0,25.0,315.0,431.0,692.0,609.0,1202.0,855.0,611.0,141.0,173.0,82.0,24.0,8.0,53.0
77598,13.0,9.0,0.0,10.0,0.0,0.0,2.0,0.0,50.0,28.0,19.0,59.0,33.0,465.0,732.0,327.0,205.0,42.0,84.0,68.0,11.0,15.0,0.0,0.0,0.0,0.0
77502,315.0,201.0,120.0,34.0,8.0,13.0,97.0,106.0,105.0,476.0,690.0,946.0,966.0,1264.0,557.0,496.0,67.0,142.0,40.0,37.0,22.0,0.0,6.0,0.0,0.0,0.0
77547,19.0,0.0,8.0,4.0,6.0,0.0,48.0,162.0,282.0,435.0,208.0,216.0,68.0,138.0,44.0,10.0,26.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
77503,280.0,19.0,74.0,27.0,8.0,14.0,0.0,163.0,176.0,246.0,431.0,460.0,491.0,981.0,419.0,198.0,37.0,48.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77521,221.0,30.0,96.0,114.0,41.0,21.0,23.0,138.0,380.0,491.0,427.0,689.0,860.0,1565.0,1930.0,1480.0,1248.0,1140.0,432.0,346.0,11.0,71.0,51.0,0.0,14.0,0.0
77530,478.0,135.0,55.0,12.0,87.0,54.0,40.0,115.0,263.0,313.0,538.0,766.0,651.0,953.0,602.0,354.0,142.0,136.0,56.0,46.0,0.0,27.0,0.0,0.0,0.0,78.0
77571,299.0,128.0,33.0,12.0,28.0,36.0,46.0,58.0,99.0,232.0,335.0,295.0,473.0,2157.0,1976.0,1379.0,699.0,807.0,247.0,303.0,71.0,44.0,13.0,26.0,2.0,16.0
77336,15.0,81.0,44.0,18.0,8.0,0.0,0.0,108.0,101.0,138.0,217.0,162.0,154.0,195.0,210.0,343.0,152.0,195.0,210.0,464.0,220.0,181.0,15.0,16.0,0.0,0.0
77094,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,56.0,92.0,192.0,411.0,551.0,567.0,460.0,133.0,67.0,0.0,18.0
77096,87.0,10.0,0.0,0.0,45.0,13.0,27.0,53.0,106.0,72.0,80.0,71.0,96.0,129.0,96.0,263.0,222.0,755.0,923.0,2007.0,788.0,799.0,200.0,62.0,0.0,0.0
77379,130.0,31.0,28.0,39.0,0.0,0.0,34.0,21.0,32.0,46.0,30.0,74.0,161.0,1541.0,1651.0,2083.0,2262.0,3935.0,2806.0,3193.0,1328.0,962.0,243.0,73.0,141.0,54.0
77389,117.0,15.0,138.0,90.0,0.0,0.0,40.0,0.0,67.0,26.0,16.0,135.0,277.0,350.0,616.0,754.0,390.0,776.0,880.0,1774.0,865.0,920.0,352.0,78.0,25.0,79.0
77010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,30.0,9.0,0.0,0.0
77020,7.0,21.0,0.0,27.0,38.0,66.0,51.0,356.0,478.0,603.0,322.0,505.0,223.0,393.0,156.0,140.0,62.0,135.0,99.0,89.0,5.0,0.0,0.0,11.0,0.0,0.0
77021,24.0,12.0,0.0,15.0,75.0,141.0,146.0,168.0,434.0,508.0,352.0,249.0,190.0,372.0,108.0,269.0,153.0,165.0,227.0,231.0,115.0,226.0,19.0,0.0,46.0,0.0
77030,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,78.0,10.0,87.0,117.0,160.0,97.0,114.0,45.0,103.0,282.0,400.0,270.0,279.0,10.0,28.0
77037,431.0,147.0,0.0,88.0,5.0,70.0,17.0,123.0,77.0,136.0,315.0,365.0,293.0,1121.0,241.0,256.0,33.0,50.0,15.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
77045,62.0,12.0,89.0,10.0,30.0,0.0,34.0,218.0,651.0,1361.0,967.0,927.0,884.0,943.0,368.0,199.0,35.0,37.0,123.0,52.0,0.0,18.0,11.0,0.0,0.0,2.0
77082,85.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,57.0,125.0,527.0,546.0,1744.0,1039.0,1138.0,596.0,684.0,512.0,344.0,71.0,309.0,239.0,23.0,11.0,21.0
