Zipcode,Total Travel Time,Travel Time Less than 5 minutes,Travel Time 5 to 9 minutes,Travel Time 10 to 14 minutes,Travel Time 15 to 19 minutes,Travel Time 15 to 19 minutes,Travel Time 20 to 24 minutes,Travel Time 25 to 29 minutes,Travel Time 30 to 34 minutes,Travel Time 35 to 39 minutes,Travel Time 40 to 44 minutes,Travel Time 45 to 59 minutes,Travel Time 60 to 89 minutes,Travel Time 90 or more minutes
77002,2997.0,70.0,475.0,455.0,579.0,579.0,662.0,234.0,216.0,105.0,10.0,113.0,61.0,17.0
77003,5197.0,86.0,536.0,604.0,889.0,889.0,950.0,495.0,804.0,56.0,61.0,185.0,405.0,126.0
77004,16175.0,727.0,1818.0,3512.0,3339.0,3339.0,2476.0,468.0,1689.0,279.0,476.0,626.0,480.0,285.0
77005,11534.0,297.0,1457.0,2454.0,2806.0,2806.0,1975.0,543.0,1100.0,203.0,247.0,310.0,100.0,42.0
77006,14348.0,645.0,1706.0,3205.0,2957.0,2957.0,1836.0,759.0,1990.0,202.0,293.0,378.0,222.0,155.0
77007,22792.0,304.0,2003.0,3603.0,4513.0,4513.0,4033.0,2084.0,3886.0,543.0,383.0,848.0,388.0,204.0
77008,19536.0,623.0,1332.0,2276.0,3083.0,3083.0,3707.0,1788.0,3833.0,467.0,724.0,1327.0,306.0,70.0
77009,17787.0,465.0,1560.0,2345.0,2927.0,2927.0,3319.0,1057.0,2958.0,477.0,782.0,1015.0,543.0,339.0
77010,529.0,16.0,103.0,96.0,129.0,129.0,67.0,28.0,75.0,0.0,0.0,15.0,0.0,0.0
77011,7212.0,212.0,455.0,666.0,1213.0,1213.0,785.0,681.0,2019.0,160.0,246.0,406.0,240.0,129.0
77012,9127.0,214.0,517.0,1084.0,1486.0,1486.0,1391.0,365.0,1943.0,201.0,262.0,562.0,819.0,283.0
77013,8404.0,107.0,584.0,1230.0,1576.0,1576.0,1052.0,416.0,1823.0,208.0,264.0,647.0,470.0,27.0
77014,14866.0,45.0,450.0,1630.0,1699.0,1699.0,2140.0,604.0,3518.0,631.0,452.0,2455.0,1091.0,151.0
77015,23668.0,466.0,2190.0,3010.0,3511.0,3511.0,3426.0,1144.0,4440.0,742.0,866.0,2168.0,1281.0,424.0
77016,9066.0,74.0,372.0,582.0,1185.0,1185.0,1655.0,427.0,2074.0,307.0,566.0,978.0,715.0,131.0
77017,13914.0,207.0,786.0,1306.0,2218.0,2218.0,2403.0,580.0,2965.0,319.0,806.0,1192.0,806.0,326.0
77018,13479.0,258.0,732.0,1296.0,1762.0,1762.0,2558.0,1381.0,2987.0,497.0,535.0,909.0,441.0,123.0
77019,12709.0,263.0,1841.0,2813.0,2223.0,2223.0,1928.0,721.0,1828.0,333.0,176.0,318.0,176.0,89.0
77020,9736.0,158.0,559.0,1134.0,1383.0,1383.0,1323.0,439.0,2327.0,170.0,417.0,495.0,1062.0,269.0
77021,10696.0,280.0,767.0,1889.0,1763.0,1763.0,1739.0,678.0,1599.0,276.0,245.0,616.0,530.0,314.0
77022,11470.0,168.0,749.0,934.0,1427.0,1427.0,2371.0,548.0,2863.0,170.0,337.0,973.0,657.0,273.0
77023,12651.0,315.0,1131.0,1580.0,2147.0,2147.0,1881.0,785.0,2452.0,303.0,476.0,746.0,732.0,103.0
77024,15554.0,368.0,1479.0,2056.0,3237.0,3237.0,3013.0,1336.0,2247.0,346.0,499.0,578.0,322.0,73.0
77025,14047.0,249.0,1003.0,2168.0,2790.0,2790.0,2591.0,1178.0,2090.0,312.0,349.0,587.0,561.0,169.0
77026,7450.0,146.0,366.0,965.0,1102.0,1102.0,1016.0,286.0,1420.0,166.0,332.0,470.0,877.0,304.0
77027,9806.0,279.0,1256.0,1943.0,1845.0,1845.0,1576.0,784.0,1440.0,131.0,84.0,293.0,118.0,57.0
77028,5353.0,75.0,179.0,474.0,796.0,796.0,831.0,420.0,1593.0,197.0,103.0,367.0,149.0,169.0
77029,6332.0,181.0,636.0,881.0,844.0,844.0,1038.0,402.0,1130.0,62.0,180.0,458.0,433.0,87.0
77030,5479.0,171.0,564.0,1387.0,966.0,966.0,897.0,219.0,690.0,97.0,106.0,155.0,180.0,47.0
77031,8497.0,18.0,162.0,997.0,714.0,714.0,2377.0,598.0,1789.0,557.0,371.0,437.0,333.0,144.0
77032,3619.0,37.0,336.0,231.0,428.0,428.0,263.0,63.0,1055.0,44.0,217.0,337.0,467.0,141.0
77033,9186.0,41.0,354.0,856.0,1474.0,1474.0,2091.0,418.0,1989.0,113.0,315.0,684.0,614.0,237.0
77034,17606.0,428.0,1343.0,2298.0,2412.0,2412.0,2338.0,1129.0,3254.0,449.0,941.0,1429.0,1131.0,454.0
77035,16238.0,158.0,999.0,1347.0,2005.0,2005.0,3026.0,1647.0,3420.0,639.0,861.0,1101.0,642.0,393.0
77036,32252.0,489.0,1028.0,2375.0,3817.0,3817.0,6845.0,3892.0,6221.0,1374.0,1152.0,3097.0,1603.0,359.0
77037,8975.0,146.0,328.0,588.0,733.0,733.0,1202.0,432.0,2995.0,136.0,476.0,1161.0,432.0,346.0
77038,11591.0,66.0,394.0,891.0,1518.0,1518.0,1363.0,638.0,3374.0,355.0,701.0,1202.0,874.0,215.0
77039,11872.0,140.0,417.0,870.0,1597.0,1597.0,1866.0,299.0,3363.0,198.0,666.0,1292.0,966.0,198.0
77040,23702.0,332.0,1862.0,1915.0,3019.0,3019.0,4037.0,1224.0,5434.0,951.0,1400.0,2043.0,1034.0,451.0
77041,17134.0,237.0,863.0,1716.0,2275.0,2275.0,3097.0,905.0,3156.0,539.0,1039.0,2059.0,1149.0,99.0
77042,20963.0,282.0,1591.0,2021.0,3887.0,3887.0,3565.0,1413.0,4114.0,594.0,754.0,1561.0,980.0,201.0
77043,12439.0,211.0,1040.0,1668.0,2077.0,2077.0,2041.0,733.0,1893.0,555.0,720.0,764.0,580.0,157.0
77044,14949.0,201.0,639.0,800.0,1732.0,1732.0,1909.0,1162.0,3183.0,633.0,1120.0,2104.0,1256.0,210.0
77045,12628.0,85.0,252.0,665.0,1218.0,1218.0,2778.0,978.0,3140.0,721.0,553.0,1094.0,791.0,353.0
77046,592.0,48.0,56.0,114.0,189.0,189.0,33.0,73.0,54.0,25.0,0.0,0.0,0.0,0.0
77047,11567.0,16.0,195.0,1024.0,1454.0,1454.0,2187.0,1161.0,3032.0,353.0,355.0,770.0,826.0,194.0
77048,6364.0,73.0,298.0,266.0,877.0,877.0,1155.0,585.0,1332.0,250.0,325.0,555.0,568.0,80.0
77049,13715.0,245.0,895.0,1276.0,1993.0,1993.0,1950.0,898.0,2680.0,700.0,569.0,1288.0,1000.0,221.0
77050,2097.0,0.0,163.0,147.0,527.0,527.0,362.0,124.0,179.0,93.0,166.0,120.0,192.0,24.0
77051,4584.0,26.0,466.0,563.0,832.0,832.0,538.0,226.0,857.0,61.0,329.0,194.0,360.0,132.0
77054,13152.0,291.0,1354.0,2564.0,2231.0,2231.0,2747.0,732.0,2091.0,165.0,204.0,392.0,356.0,25.0
77055,19814.0,232.0,1928.0,2313.0,3422.0,3422.0,3573.0,1171.0,4341.0,504.0,540.0,1072.0,586.0,132.0
77056,9798.0,176.0,1335.0,2073.0,1652.0,1652.0,2139.0,341.0,1188.0,86.0,291.0,303.0,102.0,112.0
77057,22781.0,369.0,1728.0,3568.0,3916.0,3916.0,5165.0,1308.0,3648.0,466.0,385.0,1338.0,737.0,153.0
77058,9143.0,470.0,1211.0,1901.0,1180.0,1180.0,822.0,230.0,1187.0,202.0,306.0,837.0,689.0,108.0
77059,8135.0,261.0,488.0,1769.0,1277.0,1277.0,905.0,497.0,889.0,257.0,347.0,910.0,389.0,146.0
77060,17751.0,155.0,858.0,1777.0,2265.0,2265.0,2888.0,484.0,5222.0,207.0,720.0,1429.0,1466.0,280.0
77061,11623.0,150.0,756.0,1311.0,1600.0,1600.0,1964.0,671.0,2113.0,152.0,398.0,1061.0,1092.0,355.0
77062,12880.0,198.0,1397.0,2575.0,2114.0,2114.0,1279.0,522.0,1667.0,240.0,664.0,1130.0,923.0,171.0
77063,19331.0,317.0,1077.0,2485.0,2995.0,2995.0,3413.0,1348.0,4403.0,361.0,722.0,1264.0,657.0,289.0
77064,23363.0,202.0,1294.0,2358.0,3395.0,3395.0,3401.0,1732.0,4357.0,734.0,1163.0,2632.0,1669.0,426.0
77065,19035.0,177.0,1451.0,1892.0,3324.0,3324.0,2538.0,804.0,3607.0,595.0,1055.0,1829.0,1550.0,213.0
77066,15070.0,211.0,750.0,1381.0,1686.0,1686.0,2104.0,648.0,3837.0,396.0,710.0,1886.0,1339.0,122.0
77067,14011.0,103.0,459.0,1256.0,1691.0,1691.0,2490.0,806.0,3710.0,322.0,656.0,1299.0,1030.0,189.0
77068,5357.0,238.0,180.0,381.0,421.0,421.0,771.0,258.0,1411.0,134.0,317.0,695.0,451.0,100.0
77069,8563.0,75.0,416.0,802.0,975.0,975.0,1188.0,410.0,1607.0,187.0,404.0,1228.0,1109.0,162.0
77070,24590.0,596.0,2370.0,3430.0,2577.0,2577.0,2903.0,1246.0,3998.0,613.0,1140.0,2538.0,2529.0,650.0
77071,12800.0,338.0,304.0,1119.0,1597.0,1597.0,2127.0,1344.0,2854.0,818.0,678.0,1145.0,345.0,131.0
77072,27202.0,88.0,1008.0,2787.0,3366.0,3366.0,3867.0,1889.0,6368.0,862.0,1235.0,2665.0,2436.0,631.0
77073,19312.0,117.0,989.0,1753.0,3231.0,3231.0,2817.0,1136.0,3008.0,795.0,939.0,2209.0,2087.0,231.0
