Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77493,1841.0,3599.0,4785.0,2637.0,1018.0
77502,7494.0,6255.0,4966.0,1030.0,452.0
77503,3979.0,4722.0,3932.0,806.0,161.0
77504,3501.0,4225.0,4792.0,1537.0,697.0
77505,2133.0,3998.0,5287.0,2357.0,1073.0
77506,9650.0,6552.0,3138.0,624.0,114.0
77507,0.0,0.0,0.0,0.0,0.0
77520,6760.0,5920.0,6871.0,1665.0,695.0
77521,5339.0,8158.0,11297.0,3389.0,1821.0
77530,5299.0,6181.0,3954.0,1064.0,410.0
77532,2246.0,6333.0,6009.0,2193.0,673.0
77536,2631.0,5554.0,7484.0,3118.0,954.0
77547,2196.0,1898.0,1274.0,227.0,70.0
77562,1369.0,2121.0,2487.0,354.0,223.0
77571,3416.0,7331.0,8333.0,2508.0,1058.0
77586,548.0,1849.0,4433.0,4555.0,2474.0
77587,4031.0,2594.0,1843.0,447.0,278.0
77598,1893.0,3574.0,5408.0,2572.0,1023.0
77002,2528.0,2264.0,1762.0,1307.0,876.0
77003,2549.0,1252.0,1369.0,1007.0,728.0
77004,3161.0,3082.0,4046.0,3983.0,4222.0
77005,278.0,786.0,1657.0,5650.0,7896.0
77006,785.0,1832.0,2974.0,5096.0,5127.0
77007,2655.0,2344.0,3966.0,8819.0,5933.0
77008,2975.0,3519.0,4680.0,7296.0,4470.0
77009,8312.0,5913.0,4678.0,3280.0,2578.0
77010,0.0,10.0,35.0,146.0,107.0
77011,6681.0,3045.0,1592.0,309.0,61.0
77012,6685.0,3226.0,2070.0,618.0,125.0
77013,4809.0,3312.0,2240.0,430.0,331.0
77014,3890.0,4532.0,5157.0,2075.0,673.0
77015,11015.0,9298.0,7434.0,2253.0,988.0
77016,5705.0,7269.0,4083.0,1162.0,512.0
77017,7722.0,5952.0,4305.0,943.0,450.0
77018,3143.0,4683.0,5157.0,4432.0,2205.0
77019,762.0,1250.0,2595.0,5411.0,4806.0
77020,7962.0,4067.0,2455.0,927.0,329.0
77021,4037.0,4760.0,4350.0,1957.0,1859.0
77022,8247.0,5026.0,3032.0,753.0,265.0
77023,8618.0,4363.0,3642.0,1616.0,494.0
77024,775.0,2021.0,4511.0,9738.0,7604.0
77025,1313.0,1676.0,3223.0,5340.0,6285.0
77026,6058.0,4631.0,2853.0,530.0,278.0
77027,303.0,653.0,2196.0,4625.0,3975.0
77028,3843.0,4233.0,2298.0,516.0,123.0
77029,5366.0,2839.0,2246.0,396.0,204.0
77030,151.0,306.0,1030.0,2354.0,3886.0
77031,3262.0,2375.0,2763.0,1655.0,671.0
77032,2847.0,2278.0,1630.0,163.0,125.0
77033,5594.0,6539.0,4417.0,858.0,363.0
77034,6213.0,5307.0,6093.0,2072.0,581.0
77035,5737.0,4893.0,5593.0,3426.0,1942.0
77036,16667.0,9060.0,7309.0,4534.0,1535.0
77037,5656.0,2800.0,1766.0,291.0,19.0
77038,6346.0,4167.0,3051.0,893.0,217.0
77039,7282.0,4227.0,2568.0,425.0,122.0
77040,5125.0,8184.0,7834.0,4439.0,2091.0
77041,4519.0,5434.0,4972.0,5209.0,2422.0
77042,2529.0,3476.0,7656.0,6981.0,3169.0
77043,3196.0,3130.0,4382.0,3087.0,1031.0
77044,3567.0,4435.0,5074.0,2520.0,1564.0
77045,5334.0,6510.0,4608.0,1368.0,765.0
77046,0.0,40.0,215.0,427.0,341.0
77047,2481.0,3506.0,4680.0,2200.0,1101.0
77048,2415.0,3337.0,2538.0,658.0,312.0
77049,3780.0,4595.0,4868.0,1529.0,849.0
77050,1041.0,859.0,620.0,106.0,60.0
77051,2006.0,3797.0,2681.0,539.0,174.0
77054,365.0,1587.0,3758.0,4889.0,4335.0
77055,9433.0,5253.0,4892.0,4833.0,2473.0
77056,248.0,930.0,2923.0,5548.0,3886.0
77057,4684.0,3220.0,6910.0,9059.0,5241.0
77058,812.0,1611.0,4110.0,3370.0,1971.0
77059,406.0,1154.0,2317.0,5083.0,3598.0
77060,11218.0,6656.0,3895.0,599.0,371.0
77061,5490.0,4341.0,2929.0,1179.0,554.0
77062,1258.0,2139.0,4684.0,5770.0,3611.0
77063,3374.0,3834.0,7059.0,8068.0,3870.0
77064,4362.0,7559.0,8642.0,5797.0,1934.0
77065,2590.0,4929.0,8072.0,4766.0,1892.0
77066,3988.0,5536.0,5911.0,2865.0,1187.0
77067,4997.0,4521.0,4490.0,1272.0,272.0
77068,867.0,1073.0,1994.0,2089.0,699.0
77069,445.0,1806.0,3186.0,3986.0,1835.0
77070,2730.0,7025.0,9676.0,8053.0,2817.0
77071,3115.0,4028.0,4972.0,2914.0,1886.0
77072,10557.0,9467.0,7669.0,3494.0,1291.0
77073,4259.0,6695.0,5987.0,2303.0,841.0
77074,7526.0,4817.0,5005.0,2969.0,1270.0
77075,6366.0,6475.0,6066.0,2215.0,586.0
77076,9248.0,5479.0,2378.0,495.0,92.0
77077,1915.0,5203.0,10611.0,11772.0,7084.0
77078,3078.0,2852.0,2259.0,289.0,226.0
77079,803.0,2673.0,4550.0,8120.0,4900.0
77080,11308.0,7133.0,5716.0,3008.0,1054.0
77081,11164.0,5307.0,4383.0,2967.0,1459.0
77082,3946.0,7364.0,10185.0,7095.0,3676.0
77083,9577.0,10078.0,12028.0,7874.0,2684.0
77084,9557.0,15497.0,19199.0,11633.0,4099.0
77085,2846.0,2394.0,2738.0,1211.0,368.0
77086,5720.0,4811.0,3341.0,1426.0,337.0
77087,10367.0,6775.0,3745.0,1204.0,455.0
77088,8953.0,9552.0,8418.0,2373.0,1196.0
77089,5687.0,8156.0,11007.0,5085.0,2040.0
77090,3235.0,4827.0,7260.0,2987.0,1596.0
77091,4668.0,4256.0,4052.0,1404.0,483.0
77092,7117.0,5817.0,4488.0,2611.0,1003.0
77093,13079.0,6324.0,3574.0,699.0,112.0
77094,62.0,472.0,955.0,2510.0,1572.0
77095,2677.0,7807.0,13165.0,12589.0,4990.0
77096,2135.0,2841.0,5865.0,6975.0,5224.0
77098,359.0,496.0,2158.0,3812.0,3150.0
77099,8266.0,7713.0,6836.0,3315.0,1374.0
77201,0.0,0.0,0.0,0.0,0.0
77336,943.0,2860.0,2476.0,1155.0,311.0
77338,3824.0,5619.0,7129.0,2609.0,1063.0
77339,1400.0,4618.0,9578.0,7448.0,3621.0
77345,412.0,2137.0,4955.0,6851.0,3831.0
77346,1779.0,6865.0,12378.0,8027.0,3558.0
77373,3960.0,9903.0,13466.0,4821.0,1694.0
77375,2527.0,7108.0,8497.0,4777.0,1685.0
77377,1690.0,3246.0,5854.0,5212.0,2049.0
77379,2694.0,7042.0,13871.0,14232.0,7322.0
77388,2206.0,5427.0,9423.0,6298.0,2874.0
77389,1103.0,2633.0,4643.0,4030.0,1481.0
77396,5565.0,6657.0,7631.0,3828.0,2274.0
77401,257.0,619.0,1797.0,4361.0,4687.0
77429,2489.0,8542.0,13917.0,14137.0,5224.0
77433,2445.0,5790.0,8535.0,9075.0,3073.0
77447,1271.0,2889.0,2272.0,802.0,301.0
77449,8751.0,14391.0,18015.0,8850.0,2652.0
77450,2245.0,5733.0,12934.0,15581.0,7000.0
