Zipcode,Employment Status Total Estimate,Estimate Total In labor force,Estimate Total Not in labor force
77002,11386.0,3128.0,8258.0
77003,7836.0,5222.0,2614.0
77004,25234.0,15020.0,10214.0
77005,20321.0,13210.0,7111.0
77006,18725.0,15401.0,3324.0
77007,24794.0,20038.0,4756.0
77008,25397.0,19554.0,5843.0
77009,30135.0,19950.0,10185.0
77010,198.0,130.0,68.0
77011,14660.0,8493.0,6167.0
77012,16146.0,10444.0,5702.0
77013,14410.0,9007.0,5403.0
77014,20242.0,14684.0,5558.0
77015,38186.0,25362.0,12824.0
77016,21244.0,11638.0,9606.0
77017,24357.0,15223.0,9134.0
77018,22244.0,15384.0,6860.0
77019,16927.0,13131.0,3796.0
77020,19863.0,10903.0,8960.0
77021,20058.0,11622.0,8436.0
77022,21426.0,12533.0,8893.0
77023,23299.0,15578.0,7721.0
77024,27551.0,16704.0,10847.0
77025,20629.0,14677.0,5952.0
77026,18223.0,9688.0,8535.0
77027,13603.0,10286.0,3317.0
77028,13120.0,7649.0,5471.0
77029,13792.0,7821.0,5971.0
77030,9486.0,6868.0,2618.0
77031,12261.0,8837.0,3424.0
77032,9127.0,4788.0,4339.0
77033,21300.0,11750.0,9550.0
77034,24471.0,16935.0,7536.0
77035,27206.0,19117.0,8089.0
77036,48004.0,34026.0,13978.0
77037,14325.0,8756.0,5569.0
77038,17981.0,12305.0,5676.0
77039,18853.0,11964.0,6889.0
77040,32641.0,24075.0,8566.0
77041,25828.0,18885.0,6943.0
77042,27525.0,21790.0,5735.0
77043,17162.0,11595.0,5567.0
77044,20717.0,13990.0,6727.0
77045,23372.0,14760.0,8612.0
77046,865.0,716.0,149.0
77047,15752.0,10880.0,4872.0
77048,11202.0,7100.0,4102.0
77049,19633.0,13826.0,5807.0
77050,3335.0,1996.0,1339.0
77051,11185.0,5666.0,5519.0
77054,18625.0,13568.0,5057.0
77055,31490.0,20983.0,10507.0
77056,15345.0,10417.0,4928.0
77057,32756.0,25603.0,7153.0
77058,14293.0,10058.0,4235.0
77059,14649.0,9834.0,4815.0
77060,29183.0,21421.0,7762.0
77061,18224.0,12260.0,5964.0
77062,19590.0,13484.0,6106.0
77063,28636.0,21807.0,6829.0
77064,32775.0,24495.0,8280.0
77065,27166.0,19742.0,7424.0
77066,23919.0,16875.0,7044.0
77067,19701.0,13774.0,5927.0
77068,7513.0,5486.0,2027.0
77069,12802.0,8338.0,4464.0
77070,34348.0,24917.0,9431.0
77071,19699.0,13593.0,6106.0
77072,42146.0,29064.0,13082.0
77073,24293.0,18028.0,6265.0
77074,26420.0,17616.0,8804.0
77075,26035.0,19495.0,6540.0
77076,22936.0,14400.0,8536.0
77077,42120.0,31585.0,10535.0
77078,10823.0,5993.0,4830.0
77079,23587.0,15834.0,7753.0
77080,34156.0,23335.0,10821.0
77081,32651.0,25391.0,7260.0
77082,36818.0,27217.0,9601.0
77083,52243.0,36678.0,15565.0
77084,68600.0,50269.0,18331.0
77085,11506.0,8076.0,3430.0
77086,18447.0,11995.0,6452.0
77087,27499.0,17514.0,9985.0
77088,36912.0,24120.0,12792.0
77089,37705.0,27017.0,10688.0
77090,23152.0,17258.0,5894.0
77091,17514.0,10768.0,6746.0
77092,25584.0,17549.0,8035.0
77093,29726.0,17145.0,12581.0
77094,6762.0,4129.0,2633.0
77095,47994.0,36959.0,11035.0
77096,25536.0,17580.0,7956.0
77098,10876.0,8831.0,2045.0
77099,34105.0,23467.0,10638.0
77201,0.0,0.0,0.0
77336,9227.0,5957.0,3270.0
77338,23383.0,17041.0,6342.0
77339,30093.0,20816.0,9277.0
77345,20244.0,12848.0,7396.0
77346,37610.0,28060.0,9550.0
77373,39668.0,29227.0,10441.0
77375,27147.0,19213.0,7934.0
77377,20172.0,14335.0,5837.0
77379,51742.0,37450.0,14292.0
77388,29481.0,21902.0,7579.0
77389,14476.0,10207.0,4269.0
77396,30472.0,20394.0,10078.0
77401,13289.0,9545.0,3744.0
77429,49915.0,36498.0,13417.0
77433,30490.0,22984.0,7506.0
77447,8759.0,5947.0,2812.0
77449,60383.0,43947.0,16436.0
77450,50015.0,34980.0,15035.0
77484,8372.0,5599.0,2773.0
77493,16174.0,11876.0,4298.0
77502,25396.0,15941.0,9455.0
77503,17338.0,10888.0,6450.0
77504,17698.0,11655.0,6043.0
77505,17582.0,12661.0,4921.0
77506,25502.0,15876.0,9626.0
77507,0.0,0.0,0.0
77520,27342.0,16349.0,10993.0
77521,34287.0,22359.0,11928.0
77530,21793.0,14300.0,7493.0
77532,18531.0,11744.0,6787.0
77536,23475.0,16316.0,7159.0
77547,7176.0,4248.0,2928.0
77562,7935.0,4854.0,3081.0
77571,27562.0,19327.0,8235.0
77586,16575.0,11576.0,4999.0
77587,11643.0,7519.0,4124.0
77598,18398.0,14357.0,4041.0
