Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77484,2571.0,140.0,120.0,684.0,499.0,644.0,422.0,62.0,7820.0
77493,6717.0,261.0,356.0,1379.0,1808.0,1568.0,1231.0,114.0,14963.0
77502,10907.0,531.0,782.0,2826.0,2429.0,2600.0,1701.0,38.0,23206.0
77503,7423.0,378.0,299.0,1927.0,1803.0,1779.0,1214.0,23.0,15499.0
77504,7017.0,303.0,379.0,1765.0,1585.0,1481.0,1331.0,173.0,16105.0
77505,6915.0,426.0,334.0,1607.0,1146.0,1603.0,1493.0,306.0,15532.0
77506,10847.0,640.0,643.0,2873.0,2964.0,2694.0,999.0,34.0,23566.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,10719.0,667.0,600.0,2344.0,2499.0,2752.0,1739.0,118.0,24690.0
77521,14410.0,920.0,768.0,2988.0,3415.0,2372.0,3445.0,502.0,32110.0
77530,9921.0,411.0,455.0,2453.0,2202.0,2655.0,1499.0,246.0,19224.0
77532,6998.0,613.0,395.0,1441.0,1598.0,1557.0,1214.0,180.0,18156.0
77536,8988.0,363.0,500.0,1854.0,2126.0,1894.0,1946.0,305.0,20653.0
77547,3263.0,129.0,190.0,679.0,980.0,797.0,488.0,0.0,6397.0
77562,3400.0,206.0,212.0,741.0,529.0,888.0,785.0,39.0,7127.0
77571,10292.0,581.0,482.0,2428.0,1964.0,2209.0,2376.0,252.0,23909.0
77586,6350.0,378.0,394.0,1281.0,1155.0,1610.0,1043.0,489.0,14519.0
77587,5047.0,313.0,220.0,1326.0,1185.0,1293.0,609.0,101.0,10726.0
77598,6130.0,445.0,345.0,1042.0,1069.0,1048.0,1845.0,336.0,16383.0
77002,936.0,7.0,4.0,50.0,7.0,287.0,404.0,177.0,10460.0
77003,2570.0,222.0,53.0,578.0,509.0,535.0,535.0,138.0,7335.0
77004,10562.0,376.0,240.0,680.0,821.0,868.0,6218.0,1359.0,18441.0
77005,9123.0,644.0,360.0,1417.0,1480.0,1384.0,3078.0,760.0,15684.0
77006,3697.0,360.0,54.0,275.0,222.0,215.0,1555.0,1016.0,15814.0
77007,4226.0,385.0,208.0,576.0,534.0,525.0,1016.0,982.0,24322.0
77008,5062.0,399.0,296.0,885.0,651.0,888.0,1316.0,627.0,22908.0
77009,9961.0,760.0,632.0,2467.0,1923.0,1994.0,1612.0,573.0,27054.0
77010,61.0,0.0,0.0,0.0,0.0,0.0,15.0,46.0,281.0
77011,5262.0,332.0,405.0,1527.0,1194.0,1069.0,715.0,20.0,13188.0
77012,5194.0,435.0,452.0,1306.0,1076.0,972.0,929.0,24.0,14957.0
77013,4950.0,257.0,449.0,1284.0,791.0,1176.0,911.0,82.0,13135.0
77014,9725.0,564.0,657.0,2306.0,1753.0,2234.0,2013.0,198.0,17929.0
