Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77003,59575.0,4470.0,390.0,460.0,264.0,220.0,148.0,303.0,66.0,119.0,98.0,176.0,363.0,539.0,369.0,322.0,373.0,260.0
77375,69446.0,16125.0,543.0,425.0,572.0,504.0,557.0,776.0,795.0,742.0,563.0,1364.0,1781.0,2023.0,1955.0,1145.0,1142.0,1238.0
77002,72306.0,3295.0,383.0,156.0,149.0,61.0,56.0,94.0,26.0,98.0,135.0,212.0,382.0,446.0,236.0,176.0,326.0,359.0
77091,32500.0,9658.0,1338.0,791.0,771.0,672.0,813.0,713.0,578.0,567.0,509.0,746.0,627.0,578.0,433.0,154.0,242.0,126.0
77024,118561.0,15252.0,584.0,284.0,393.0,270.0,348.0,502.0,293.0,321.0,484.0,802.0,998.0,1341.0,1266.0,814.0,1097.0,5455.0
77036,29744.0,26852.0,3430.0,2079.0,2576.0,3400.0,2030.0,2305.0,1620.0,1347.0,1361.0,1560.0,1743.0,1306.0,997.0,414.0,408.0,276.0
77046,90036.0,719.0,0.0,0.0,19.0,14.0,47.0,45.0,0.0,15.0,0.0,23.0,88.0,143.0,45.0,108.0,75.0,97.0
77049,56760.0,10236.0,549.0,351.0,304.0,243.0,716.0,452.0,628.0,506.0,436.0,1206.0,1139.0,1163.0,1278.0,595.0,525.0,145.0
77061,39180.0,8690.0,795.0,586.0,503.0,674.0,608.0,803.0,417.0,549.0,424.0,583.0,675.0,861.0,609.0,283.0,193.0,127.0
77073,54079.0,12824.0,784.0,395.0,443.0,740.0,428.0,898.0,552.0,750.0,704.0,1627.0,1868.0,1611.0,928.0,517.0,379.0,200.0
77076,34842.0,9756.0,1013.0,461.0,982.0,772.0,996.0,675.0,729.0,703.0,458.0,872.0,851.0,753.0,329.0,108.0,23.0,31.0
77079,98774.0,12496.0,339.0,252.0,562.0,314.0,220.0,263.0,331.0,380.0,234.0,1011.0,1036.0,1383.0,1193.0,661.0,1339.0,2978.0
77080,44386.0,15241.0,1036.0,806.0,1031.0,1209.0,1176.0,911.0,723.0,811.0,699.0,1372.0,1394.0,1487.0,926.0,665.0,644.0,351.0
77087,35302.0,11076.0,1155.0,669.0,1328.0,910.0,662.0,773.0,580.0,693.0,501.0,973.0,718.0,919.0,503.0,344.0,331.0,17.0
77092,39921.0,14075.0,958.0,909.0,825.0,1290.0,1201.0,1044.0,826.0,956.0,652.0,1096.0,1386.0,1049.0,703.0,438.0,368.0,374.0
77095,92175.0,24232.0,670.0,443.0,457.0,564.0,691.0,609.0,515.0,1205.0,598.0,1604.0,2404.0,3244.0,3367.0,2334.0,2750.0,2777.0
77016,32302.0,9771.0,995.0,833.0,1016.0,895.0,816.0,626.0,511.0,674.0,426.0,790.0,718.0,990.0,249.0,135.0,66.0,31.0
77018,81565.0,10889.0,734.0,516.0,403.0,475.0,554.0,338.0,458.0,276.0,337.0,388.0,775.0,977.0,872.0,774.0,1100.0,1912.0
77029,32200.0,5664.0,623.0,389.0,549.0,585.0,378.0,550.0,268.0,388.0,189.0,534.0,488.0,351.0,183.0,54.0,99.0,36.0
77044,76387.0,12594.0,349.0,320.0,472.0,271.0,421.0,470.0,480.0,777.0,512.0,932.0,1217.0,1618.0,1570.0,792.0,1281.0,1112.0
77048,41220.0,5622.0,640.0,503.0,263.0,358.0,374.0,336.0,236.0,298.0,352.0,309.0,509.0,795.0,210.0,244.0,84.0,111.0
77051,27244.0,6102.0,1104.0,625.0,633.0,373.0,455.0,466.0,287.0,251.0,291.0,427.0,493.0,263.0,170.0,190.0,45.0,29.0
77066,61430.0,10315.0,344.0,351.0,393.0,484.0,430.0,712.0,343.0,596.0,602.0,795.0,1235.0,1508.0,1087.0,470.0,537.0,428.0
77054,48681.0,12485.0,1652.0,670.0,555.0,624.0,556.0,614.0,505.0,663.0,653.0,1429.0,1121.0,1317.0,1088.0,438.0,290.0,310.0
77059,126385.0,5889.0,115.0,23.0,138.0,52.0,92.0,91.0,45.0,125.0,109.0,295.0,399.0,573.0,867.0,548.0,900.0,1517.0
77062,88433.0,9758.0,268.0,302.0,179.0,197.0,220.0,415.0,382.0,386.0,236.0,717.0,792.0,1474.0,1205.0,835.0,1068.0,1082.0
