Zipcode,Median Household Income,Median Value
77520,43094.0,76200.0
77521,54343.0,118700.0
77530,45514.0,85600.0
77532,62313.0,123500.0
77536,79251.0,133900.0
77547,42434.0,65900.0
77562,59688.0,98500.0
77571,69480.0,123000.0
77586,87136.0,185500.0
77587,38750.0,78200.0
77598,46161.0,118000.0
77002,71319.0,204600.0
77003,40647.0,191700.0
77004,46059.0,207800.0
77005,163802.0,799000.0
77006,69508.0,341600.0
77007,106044.0,323900.0
77008,77512.0,312000.0
77009,45016.0,174300.0
77010,209063.0,-666666666.0
77011,26953.0,80600.0
77012,35884.0,78400.0
77013,38519.0,83500.0
77014,40787.0,120800.0
77015,42942.0,90100.0
77016,31808.0,63200.0
77017,38337.0,86500.0
77018,65919.0,241200.0
77019,92844.0,386900.0
77020,27871.0,69600.0
77021,32391.0,82700.0
77022,30011.0,77500.0
77023,37361.0,99100.0
77024,114864.0,720200.0
77025,65524.0,349700.0
77026,21335.0,59200.0
77027,82038.0,505600.0
77028,31440.0,58500.0
77029,30019.0,67800.0
77030,71078.0,482700.0
77031,38677.0,116100.0
77032,23363.0,73600.0
77033,28125.0,64000.0
77034,44827.0,98000.0
77035,37962.0,161400.0
77036,27935.0,112000.0
77037,36229.0,84800.0
77038,39758.0,85900.0
77039,37275.0,83500.0
77040,53233.0,128600.0
77041,74020.0,135800.0
77042,45403.0,225300.0
77043,52598.0,153800.0
77044,74455.0,140700.0
77045,39020.0,83700.0
77046,98846.0,310900.0
77047,50023.0,105700.0
77048,40026.0,78300.0
77049,52300.0,103400.0
77050,49577.0,67500.0
77051,23237.0,62400.0
77054,43226.0,120900.0
77055,45264.0,259700.0
77056,92521.0,589300.0
77057,52624.0,238400.0
77058,49530.0,161700.0
77059,132137.0,251600.0
77060,26427.0,86400.0
77061,33302.0,112800.0
77062,83932.0,162700.0
77063,46611.0,187000.0
77064,64234.0,132200.0
77065,56341.0,140800.0
77066,60143.0,116500.0
77067,38323.0,94400.0
77068,71932.0,162700.0
77069,64498.0,198800.0
77070,70632.0,154100.0
77071,47521.0,120200.0
77072,37143.0,94000.0
77073,52273.0,106300.0
77074,34421.0,101800.0
77075,47644.0,114300.0
77076,30403.0,83900.0
77077,62784.0,206800.0
77078,28338.0,67500.0
77079,99650.0,337200.0
77080,38407.0,138700.0
77081,27191.0,201800.0
77082,50894.0,125200.0
77083,52075.0,116100.0
77084,64652.0,124700.0
77085,49872.0,102500.0
77086,42581.0,92300.0
77087,36792.0,85500.0
77088,42447.0,92500.0
77089,65186.0,121000.0
77090,37727.0,137800.0
77091,28628.0,95800.0
77092,37383.0,128800.0
77093,33085.0,74300.0
77094,158398.0,308700.0
77095,88555.0,168400.0
77096,59556.0,264500.0
77098,82017.0,428800.0
77099,36755.0,95500.0
77201,-666666666.0,-666666666.0
77336,63814.0,159000.0
77338,47534.0,102300.0
77339,72200.0,150300.0
77345,121224.0,243200.0
77346,87878.0,159100.0
77373,67464.0,112800.0
77375,61941.0,145500.0
77377,93884.0,205800.0
77379,97864.0,193700.0
77388,82059.0,151600.0
77389,102205.0,202100.0
77396,57440.0,110300.0
77401,154053.0,645000.0
77429,98191.0,186100.0
77433,93884.0,184100.0
77447,65235.0,122300.0
77449,66550.0,120100.0
77450,99732.0,203300.0
77484,64768.0,121900.0
77493,76393.0,153400.0
77502,43893.0,91500.0
77503,46224.0,88000.0
77504,40642.0,121000.0
77505,73294.0,162400.0
77506,29965.0,71200.0
77507,-666666666.0,-666666666.0
