Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs
77002,3513.0,220400.0,160500.0,310600.0,1184.0
77003,4655.0,112500.0,79100.0,213000.0,696.0
77004,16581.0,209000.0,121800.0,275000.0,790.0
77005,10331.0,689600.0,476500.0,972000.0,2318.0
77006,13141.0,329500.0,209500.0,441200.0,1169.0
77007,16342.0,292200.0,216300.0,388500.0,1380.0
77008,15646.0,274900.0,208500.0,373700.0,1095.0
77009,15752.0,147800.0,92500.0,258400.0,796.0
77010,215.0,-666666666.0,-666666666.0,-666666666.0,2341.0
77011,6987.0,78500.0,64800.0,90200.0,545.0
77012,7413.0,80300.0,61800.0,96500.0,639.0
77013,6476.0,90200.0,70400.0,110200.0,808.0
77014,11545.0,130300.0,102500.0,152300.0,925.0
77015,18460.0,94300.0,70000.0,121300.0,830.0
77016,10827.0,66600.0,47800.0,83000.0,634.0
77017,11349.0,86800.0,71000.0,111100.0,761.0
77018,12037.0,194800.0,150200.0,269900.0,925.0
77019,10935.0,373600.0,229200.0,787500.0,1477.0
77020,9553.0,71600.0,53800.0,93000.0,593.0
77021,12178.0,80900.0,56500.0,131000.0,802.0
77022,10511.0,85400.0,56400.0,113300.0,693.0
77023,11025.0,103500.0,83800.0,151800.0,681.0
77024,15799.0,600300.0,291900.0,985600.0,1728.0
77025,13115.0,304900.0,192800.0,448400.0,1088.0
77026,10472.0,59600.0,36500.0,84900.0,572.0
77027,9646.0,467700.0,304500.0,755100.0,1285.0
77028,6719.0,60200.0,40600.0,83700.0,554.0
77029,6569.0,73200.0,53600.0,88100.0,654.0
77030,6219.0,448900.0,210000.0,677800.0,1313.0
77031,6660.0,121400.0,104900.0,142400.0,832.0
77032,4539.0,79300.0,37100.0,101100.0,804.0
77033,10354.0,65200.0,50400.0,81400.0,686.0
77034,12938.0,103500.0,85300.0,125400.0,884.0
77035,16270.0,142300.0,96400.0,195000.0,799.0
77036,31058.0,116400.0,78300.0,143300.0,690.0
77037,5417.0,94800.0,63900.0,117700.0,829.0
77038,7691.0,91600.0,77200.0,113400.0,984.0
77039,8106.0,91000.0,71900.0,112200.0,735.0
77040,17204.0,125700.0,93400.0,175400.0,1047.0
77041,11820.0,135100.0,92900.0,245800.0,1179.0
77042,20874.0,199700.0,104000.0,318700.0,904.0
77043,9253.0,147600.0,102300.0,185600.0,893.0
77044,9923.0,127000.0,80000.0,218800.0,1298.0
77045,9802.0,89300.0,74800.0,104100.0,961.0
77046,818.0,306000.0,200600.0,468400.0,1462.0
77047,8300.0,101200.0,72900.0,129500.0,1082.0
77048,6506.0,83300.0,70200.0,101700.0,707.0
77049,8899.0,100900.0,81500.0,146500.0,1221.0
77050,1437.0,76300.0,47800.0,91400.0,652.0
77051,6594.0,53400.0,38600.0,75700.0,607.0
77054,13322.0,121800.0,71200.0,188400.0,920.0
77055,16019.0,200600.0,109000.0,400600.0,882.0
77056,11896.0,546800.0,291600.0,949800.0,1460.0
77057,22857.0,229200.0,140400.0,479700.0,1024.0
77058,9565.0,153600.0,98800.0,208600.0,952.0
77059,6158.0,239700.0,182600.0,347100.0,1865.0
77060,15977.0,92100.0,75500.0,112700.0,715.0
77061,9868.0,117700.0,86600.0,151100.0,704.0
77062,9962.0,155600.0,132100.0,188200.0,1281.0
77063,19648.0,191100.0,104600.0,294800.0,901.0
77064,15818.0,135500.0,99100.0,169800.0,1185.0
77065,14406.0,144100.0,114500.0,178800.0,1106.0
77066,10132.0,121200.0,93500.0,150000.0,1142.0
77067,10569.0,101600.0,88000.0,119500.0,961.0
77068,3740.0,164900.0,133800.0,216600.0,1421.0
77069,8014.0,213200.0,140000.0,299800.0,1104.0
77070,18559.0,158500.0,128900.0,190100.0,1234.0
77071,10766.0,124300.0,102800.0,161000.0,939.0
77072,19973.0,97700.0,78100.0,118500.0,901.0
77073,12143.0,114800.0,96500.0,136100.0,1166.0
77074,14612.0,107400.0,81700.0,133300.0,781.0
77075,12434.0,115100.0,89600.0,142000.0,971.0
77076,9923.0,90400.0,72700.0,109800.0,754.0
77077,27097.0,202800.0,156700.0,276800.0,1072.0
77078,5104.0,73800.0,57000.0,87200.0,766.0
77079,13423.0,309500.0,144200.0,420900.0,1297.0
77080,16900.0,129300.0,100700.0,164500.0,791.0
77081,19583.0,179800.0,120500.0,292400.0,686.0
77082,22230.0,131300.0,105200.0,194200.0,1054.0
77083,21788.0,122400.0,100800.0,155900.0,1253.0
77084,32620.0,128700.0,105400.0,157700.0,1207.0
77085,5051.0,114100.0,97200.0,136300.0,1165.0
77086,8484.0,98700.0,89800.0,116700.0,988.0
77087,12084.0,84600.0,70900.0,101800.0,725.0
77088,17995.0,96000.0,76200.0,118800.0,913.0
77089,16779.0,122500.0,101300.0,153100.0,1105.0
77090,15785.0,141700.0,100900.0,169200.0,903.0
77091,10887.0,97300.0,68800.0,152700.0,700.0
77092,14840.0,126200.0,93000.0,157700.0,746.0
77093,13653.0,76300.0,54800.0,96900.0,649.0
77094,2954.0,284100.0,222400.0,396700.0,2266.0
77095,23083.0,169900.0,139800.0,205400.0,1498.0
77096,15377.0,247700.0,176900.0,328100.0,934.0
77098,8074.0,412300.0,271900.0,568600.0,1296.0
77099,18091.0,101900.0,88100.0,117700.0,884.0
77201,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
77336,4534.0,134700.0,88200.0,243600.0,1057.0
77338,12165.0,106600.0,88900.0,129900.0,1040.0
77339,15848.0,148300.0,122700.0,184100.0,1222.0
77345,9780.0,235000.0,171300.0,307700.0,1786.0
77346,17980.0,157800.0,128800.0,198600.0,1538.0
77373,19127.0,114600.0,90500.0,147100.0,1281.0
77375,14171.0,146400.0,112200.0,177300.0,1257.0
77377,9378.0,193100.0,142400.0,244700.0,1497.0
77379,24425.0,193200.0,148600.0,277700.0,1657.0
77388,13673.0,153800.0,122600.0,196600.0,1544.0
77389,7060.0,165300.0,105700.0,274000.0,1572.0
77396,13634.0,109400.0,80300.0,157400.0,1172.0
77401,7073.0,538700.0,323100.0,784200.0,1999.0
77429,23930.0,190400.0,142400.0,277700.0,1612.0
77433,14708.0,172500.0,135800.0,248100.0,1668.0
77447,3969.0,125000.0,82700.0,212800.0,1094.0
77449,27607.0,122300.0,101600.0,145000.0,1387.0
77450,23931.0,187500.0,140200.0,265500.0,1538.0
77484,3875.0,147500.0,69400.0,246500.0,927.0
77493,7111.0,146500.0,106800.0,191200.0,1305.0
77502,12111.0,94000.0,80200.0,114600.0,837.0
77503,8720.0,93900.0,76300.0,114400.0,802.0
77504,9564.0,119000.0,69500.0,163700.0,794.0
77505,8651.0,156200.0,120600.0,195200.0,1216.0
77506,12318.0,76100.0,60900.0,88800.0,693.0
77507,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
77520,14254.0,79600.0,54400.0,112500.0,745.0
77521,18605.0,121000.0,88200.0,157500.0,967.0
77530,9737.0,87500.0,67500.0,112000.0,892.0
77532,9408.0,118600.0,80100.0,167500.0,956.0
77536,11074.0,130600.0,103600.0,166700.0,1202.0
77547,2774.0,71600.0,61100.0,92200.0,809.0
77562,3993.0,91500.0,54100.0,135100.0,863.0
77571,13267.0,119700.0,98000.0,149300.0,1143.0
77586,9491.0,192100.0,145700.0,244500.0,1259.0
77587,5586.0,87400.0,59300.0,110200.0,691.0
77598,11276.0,118200.0,102900.0,138100.0,884.0
