Zipcode,Total employed in civilian labor force,Aggregate travel time to work (in minutes)
77562,4770.0,124740.0
77571,17912.0,428920.0
77586,11171.0,282615.0
77587,6701.0,164635.0
77598,12853.0,292610.0
77002,3145.0,51020.0
77003,5141.0,119250.0
77004,15239.0,297370.0
77005,12575.0,195340.0
77006,14771.0,266100.0
77007,21724.0,428840.0
77008,19746.0,398535.0
77009,19108.0,436830.0
77010,422.0,
77011,7373.0,178580.0
77012,9666.0,268050.0
77013,7854.0,188295.0
77014,14205.0,414870.0
77015,23600.0,572990.0
77016,9641.0,289350.0
77017,13288.0,340170.0
77018,13985.0,313920.0
77019,12855.0,224285.0
77020,9710.0,265710.0
77021,9909.0,225005.0
77022,11583.0,298605.0
77023,14039.0,316955.0
77024,16516.0,312975.0
77025,13807.0,284470.0
77026,7036.0,220645.0
77027,10569.0,194475.0
77028,5662.0,157080.0
77029,6266.0,154995.0
77030,6170.0,112635.0
77031,8868.0,228375.0
77032,3964.0,115210.0
77033,9201.0,243320.0
77034,16426.0,440275.0
77035,16116.0,409620.0
77036,30473.0,750090.0
77037,8087.0,235535.0
77038,11214.0,331780.0
77039,10905.0,315660.0
77040,23826.0,610005.0
77041,17362.0,455455.0
77042,21625.0,513720.0
77043,11800.0,278695.0
77044,14478.0,432295.0
77045,12464.0,347205.0
77046,700.0,
77047,10753.0,287325.0
77048,6071.0,168380.0
77049,12600.0,328700.0
77050,1767.0,50500.0
77051,4399.0,105030.0
77054,12427.0,245715.0
77055,20956.0,462120.0
77056,10113.0,183870.0
77057,23830.0,502430.0
77058,8921.0,194125.0
77059,9219.0,232715.0
77060,19252.0,528735.0
77061,10824.0,290020.0
77062,13214.0,284220.0
77063,21145.0,492700.0
77064,23695.0,605495.0
77065,19307.0,494530.0
77066,15475.0,432470.0
77067,13292.0,350205.0
77068,5475.0,144110.0
77069,8726.0,252925.0
77070,25644.0,708240.0
77071,12902.0,324785.0
77072,26405.0,722615.0
77073,17860.0,495815.0
77074,17412.0,450155.0
77075,18086.0,498565.0
77076,13778.0,379510.0
77077,30041.0,749335.0
77078,5791.0,173640.0
77079,15042.0,324560.0
77080,23273.0,549315.0
77081,20700.0,527985.0
77082,26517.0,729210.0
77083,33452.0,1005435.0
77084,49838.0,1464220.0
77085,7255.0,200700.0
77086,11487.0,342780.0
77087,15374.0,385070.0
77088,21302.0,605045.0
77089,26218.0,756420.0
77090,16085.0,450330.0
77091,9447.0,239950.0
77092,15986.0,386150.0
77093,15375.0,418700.0
77094,4081.0,108145.0
77095,36422.0,1164690.0
77096,17280.0,412025.0
77098,9154.0,170725.0
77099,19727.0,540470.0
77201,0.0,-666666666.0
77336,5424.0,186080.0
77338,16287.0,418815.0
77339,20334.0,561575.0
77345,13472.0,444400.0
77346,27497.0,815595.0
77373,27482.0,784665.0
77375,18472.0,552950.0
77377,14135.0,433640.0
77379,36028.0,1064465.0
77388,20510.0,600610.0
77389,11538.0,359890.0
77396,20961.0,610825.0
77401,9053.0,163480.0
77429,37354.0,1098610.0
77433,25600.0,841320.0
77447,5649.0,207435.0
77449,45413.0,1416685.0
77450,34966.0,996565.0
77484,5133.0,168320.0
77493,12004.0,336040.0
77502,14197.0,321395.0
77503,10078.0,241625.0
77504,10294.0,256695.0
77505,12135.0,298235.0
77506,12876.0,313325.0
77507,0.0,-666666666.0
77520,14876.0,340485.0
77521,20795.0,470055.0
77530,12161.0,302255.0
77532,12142.0,357010.0
77536,14874.0,327825.0
77547,3518.0,82155.0
