Regions,Zipcode,2011,2012,2013,2014,2015,2016,2017
Inner_Loop,77002,11528,11473,11602,11630,11922,11861,12370
Inner_Loop,77003,9782,10215,10617,10760,10438,10097,9646
Inner_Loop,77004,28743,29853,31593,34079,35739,36879,37642
Inner_Loop,77005,26122,25740,25752,26187,27187,27707,28233
Inner_Loop,77006,20489,19856,20573,21144,21795,21849,21945
Inner_Loop,77007,27651,29545,30868,31987,33029,35185,35822
Inner_Loop,77008,29776,29424,30807,31418,31868,32588,34491
Inner_Loop,77009,38686,39050,39725,39361,39260,38019,37751
Inner_Loop,77010,198,342,564,724,809,831,915
Inner_Loop,77011,20213,19396,19442,19136,19303,18558,18598
Inner_Loop,77012,21185,21619,21868,20991,20494,20534,20085
Inner_Loop,77019,19976,19450,19995,20350,20644,21067,21572
Inner_Loop,77020,27427,26381,26889,26777,26005,25908,25898
Inner_Loop,77021,25082,25640,25479,26036,26209,26374,26654
Inner_Loop,77023,30931,30696,29871,29102,28316,27973,28528
Inner_Loop,77025,25632,25935,26379,27413,28305,28103,28922
Inner_Loop,77026,24438,23963,22909,23325,22485,23030,22799
Inner_Loop,77027,15200,14745,15455,15510,15749,15498,16012
Inner_Loop,77030,11375,11184,11031,10664,10279,10735,10813
Northeast,77013,19566,19448,19246,21176,21111,20743,20790
Northeast,77015,53983,54386,57096,55635,57141,57398,57258
Northeast,77016,26916,27634,27010,26558,26587,27799,29597
Northeast,77022,28733,29821,28898,27500,28430,28014,27364
Northeast,77028,17224,16551,15682,15076,14558,14457,15725
Northeast,77032,13492,13517,13743,12788,13032,13475,14443
Northeast,77037,20503,20191,20152,20934,20832,19856,20038
Northeast,77039,26431,27339,28151,28711,29660,28644,27972
Northeast,77044,30006,31067,33672,35696,37753,40389,42665
Northeast,77049,28464,29100,29460,30446,31111,32724,33749
Northeast,77050,4883,4226,4188,4945,4805,4780,5031
Northeast,77060,42532,44625,44284,43881,45648,44010,44549
Northeast,77073,35108,36910,38406,41123,42085,42411,42780
Northeast,77076,32364,33049,34851,34859,34467,35017,35144
Northeast,77078,15698,15811,16753,15584,16325,16323,15820
Northwest,77014,29396,29673,30665,32008,33960,34060,35729
Northwest,77018,27253,27627,26794,27020,27513,28144,28073
Northwest,77038,26714,27529,28182,28082,28811,29388,30653
Northwest,77040,42343,43182,44762,46898,47051,47690,48273
Northwest,77041,35272,36537,36805,37168,36368,36129,35372
Northwest,77043,21819,22940,23396,24883,25104,26505,25838
Northwest,77055,43977,43603,44281,44249,43691,44890,45003
Northwest,77064,43142,43907,45932,46509,47361,47602,49578
Northwest,77065,35550,35703,37344,38585,38652,38839,38820
Northwest,77066,30946,31486,31208,32507,32860,32999,33796
Northwest,77067,29101,29719,30930,31295,31966,32305,33489
Northwest,77068,9528,10271,10306,10776,11015,11429,10897
Northwest,77069,15107,15323,16088,16764,17286,18027,18238
Northwest,77070,44116,45349,46640,48190,49622,49666,51080
Northwest,77080,46869,48137,48734,47430,47080,46907,45665
Northwest,77084,94005,98697,99266,101488,102437,103635,104582
Northwest,77086,26464,27705,27720,28931,28886,28552,29506
Northwest,77088,50811,51809,52924,53887,55593,55688,56716
Northwest,77090,31871,33747,34201,34693,35958,38365,38361
Northwest,77091,23776,23791,23361,23398,23442,23232,25277
Northwest,77092,33737,34390,35332,35087,37022,38982,38476
Northwest,77095,64457,65603,68458,69927,71473,71924,72081
Southeast,77017,33846,33470,33259,34204,33709,32583,32556
Southeast,77029,17978,17570,18242,17812,17835,18281,17894
Southeast,77033,29319,28001,27539,27254,27478,28190,29692
Southeast,77034,34070,34856,35514,37925,39496,39420,40183
Southeast,77047,20596,21316,22334,23256,25073,26653,29410
Southeast,77048,14750,15397,16025,16521,16428,16854,17143
Southeast,77051,14887,14219,14782,15216,15141,15471,16661
Southeast,77058,16416,16349,16099,16595,16881,17070,16669
Southeast,77059,19246,18904,18867,18764,18079,18023,17374
Southeast,77061,23865,24115,24760,25519,25155,25710,26276
Southeast,77062,24612,25337,25866,25760,26448,27277,26583
Southeast,77075,37457,38421,40010,41031,42569,42864,43586
Southeast,77089,50194,50894,51184,51939,53320,52207,52699
Southwest,77024,34781,34622,35367,36791,37042,37867,38110
Southwest,77031,16041,17822,18079,17711,18380,18182,18052
Southwest,77035,36536,35481,35699,35989,36515,36973,38324
Southwest,77036,64658,67788,68373,72950,75302,77770,76605
Southwest,77042,33704,34456,36583,38335,39384,40628,42098
Southwest,77045,31578,32155,32650,33820,33917,34426,36270
Southwest,77056,16920,16356,17263,17515,18685,19990,21732
Southwest,77057,39402,39463,39903,40086,39905,39327,40130
Southwest,77063,34456,36204,35961,36299,36772,37370,38931
Southwest,77071,25403,26180,26520,27159,28003,27460,27981
Southwest,77072,56006,54901,56199,59442,58871,61376,62162
Southwest,77074,37097,35210,36939,36218,36764,37950,39915
Southwest,77077,52457,53081,53158,53659,54931,56291,57757
Southwest,77079,30755,30626,30669,31002,33013,33229,33577
Southwest,77081,43957,42801,42725,44070,45039,46940,49059
Southwest,77082,46372,49228,49920,52248,54555,55909,56641
Southwest,77083,69723,71032,71810,73164,74174,75684,79408
Southwest,77085,16337,16792,16404,16288,17571,17659,17981
Southwest,77094,8533,8143,8547,8754,8897,8978,9439
Southwest,77096,32206,33892,34891,36227,36145,37302,35465
Southwest,77099,46591,46114,45234,46617,47166,50639,51905
