Cities_by_Zipcodes,Population_2014
Houston,2924412.0
North Houston,0.0
Kingwood,0.0
Huffman,51939.0
Hufsmith,0.0
Humble,34693.0
Kingwood2,58485.0
Humble2,42161.0
Spring,8754.0
Tomball,106154.0
Spring2,59708.0
Humble3,11699.0
Bellaire,36257.0
Cypress,0.0
Alief,0.0
Barker,0.0
Cypress2,69975.0
Hockley,57329.0
Katy,98573.0
Waller,32199.0
Katy2,72742.0
Pasadena,270554.0
Baytown,112636.0
Channelview,73269.0
Crosby,11370.0
Deer Park,24577.0
Galena Park,37570.0
Highlands,25348.0
La Porte,24369.0
Seabrook,23427.0
South Houston,36225.0
Webster,0.0
