Cities_by_Zipcodes,Population_2015
Houston,3411853.0
North Houston,0.0
Kingwood,0.0
Huffman,26013.0
Hufsmith,0.0
Humble,38390.0
Kingwood2,49135.0
Humble2,23481.0
Spring,36436.0
Tomball,38348.0
Spring2,112596.0
Humble3,32531.0
Bellaire,10027.0
Cypress,0.0
Alief,0.0
Barker,0.0
Cypress2,47456.0
Hockley,22550.0
Katy,40745.0
Waller,11922.0
Katy2,10438.0
Pasadena,188878.0
Baytown,20112.0
Channelview,20494.0
Crosby,21111.0
Deer Park,33960.0
Galena Park,57141.0
Highlands,26587.0
La Porte,33709.0
Seabrook,27513.0
South Houston,20644.0
Webster,26005.0
