Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77484,3571.0,2708.0,2296.0,412.0,166.0,246.0,863.0,582.0,281.0
77493,7090.0,5725.0,4618.0,1107.0,375.0,732.0,1365.0,1083.0,282.0
77502,10693.0,8029.0,5532.0,2497.0,631.0,1866.0,2664.0,2348.0,316.0
77503,7659.0,5478.0,3720.0,1758.0,543.0,1215.0,2181.0,1821.0,360.0
77504,8534.0,5721.0,3675.0,2046.0,673.0,1373.0,2813.0,2392.0,421.0
77505,8147.0,6207.0,4785.0,1422.0,382.0,1040.0,1940.0,1621.0,319.0
77506,10531.0,7900.0,5217.0,2683.0,856.0,1827.0,2631.0,2171.0,460.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,11981.0,8434.0,5522.0,2912.0,759.0,2153.0,3547.0,2987.0,560.0
77521,16905.0,12775.0,8938.0,3837.0,990.0,2847.0,4130.0,3621.0,509.0
77530,9018.0,7104.0,4633.0,2471.0,737.0,1734.0,1914.0,1597.0,317.0
77532,8862.0,7151.0,5419.0,1732.0,632.0,1100.0,1711.0,1313.0,398.0
77536,10517.0,8718.0,6778.0,1940.0,644.0,1296.0,1799.0,1592.0,207.0
77547,2751.0,2189.0,1466.0,723.0,194.0,529.0,562.0,436.0,126.0
77562,3614.0,2652.0,1929.0,723.0,272.0,451.0,962.0,823.0,139.0
77571,12119.0,9353.0,6626.0,2727.0,893.0,1834.0,2766.0,2087.0,679.0
77586,8066.0,5445.0,4498.0,947.0,324.0,623.0,2621.0,2255.0,366.0
77587,4832.0,3786.0,2553.0,1233.0,304.0,929.0,1046.0,780.0,266.0
77598,9945.0,5099.0,2793.0,2306.0,866.0,1440.0,4846.0,3926.0,920.0
77002,2866.0,480.0,356.0,124.0,12.0,112.0,2386.0,2113.0,273.0
77003,4098.0,1998.0,1092.0,906.0,194.0,712.0,2100.0,1642.0,458.0
77004,12361.0,5047.0,2789.0,2258.0,526.0,1732.0,7314.0,5940.0,1374.0
77005,9386.0,6369.0,5822.0,547.0,189.0,358.0,3017.0,2606.0,411.0
77006,11234.0,3002.0,1975.0,1027.0,506.0,521.0,8232.0,6544.0,1688.0
77007,15059.0,5847.0,4754.0,1093.0,560.0,533.0,9212.0,7003.0,2209.0
