Cities_by_Zipcodes,Population_2015
Houston,3030859.0
North Houston,0.0
Kingwood,0.0
Huffman,12044.0
Hufsmith,0.0
Humble,38017.0
Kingwood2,69257.0
Humble2,60066.0
Spring,56942.0
Tomball,78852.0
Spring2,147656.0
Humble3,48587.0
Bellaire,18510.0
Cypress,0.0
Alief,0.0
Barker,0.0
Cypress2,144028.0
Hockley,13616.0
Katy,180421.0
Waller,11512.0
Katy2,26013.0
Pasadena,147442.0
Baytown,92339.0
Channelview,30175.0
Crosby,28430.0
Deer Park,32531.0
Galena Park,10027.0
Highlands,10591.0
La Porte,36865.0
Seabrook,22550.0
South Houston,16868.0
Webster,23877.0
