Cities,2011,2012,2013,2014,2015,2016,2017
Houston,,0.014388337333221202,0.016301446693561816,0.018239248068722347,0.015874659837097127,0.014147144423412694,0.016355660877947598
Huffman,,-0.018550020251113852,-0.007758336084516371,-0.02686740974879387,0.029489699974356798,-0.019760876785121173,0.05005929188548186
Humble,,0.03583046344974594,0.03515924936269532,0.047427956829729556,0.0386731723898619,0.024169905229426636,0.05129314649003103
Kingwood,,0.027540639424487035,0.022806147744174554,0.027849997796677295,-0.010260807431225483,0.023318942489567895,-0.005347669037137348
Spring,,0.03409555699771505,0.019106735084564397,0.015653946864553347,0.04244727845231244,0.034741297568891216,0.011804105693745015
Tomball,,0.058223108050975414,0.0374693225272531,0.035442167514784684,0.04735213250627601,0.04200273930908538,0.06230222481865533
Bellaire,,0.004011001604400599,0.020089030932541885,0.014322479579277125,0.020959735245449584,0.008481901674770365,0.021160336422563875
Cypress,,0.06241661902039253,0.05901059206288384,0.05301210385290589,0.053136493591009026,0.04702557835976329,0.07033109860014197
Hockley,,0.05141947910560263,0.0786140979689367,-0.026288583665632803,0.03261034430456555,0.13227085781433612,-0.011091652072387603
Katy,,0.031459875829635164,0.037530888495265646,0.039598273799800854,0.046316194955802414,0.03566272997665121,0.046881139029729235
Waller,,0.027375352775164563,-0.0021060342459481296,0.04331069921086428,0.012489006156552351,-0.06914523974982623,-0.0005599104143336753
Pasadena,,0.003190367863285859,0.010494731893476494,0.005316019211559775,0.0034231892145719645,0.009854722534963,0.010806272876859424
Baytown,,0.028881854531606965,0.019454307822204697,0.032652227680648016,0.014502466517979817,0.016504402256901196,-0.000468768311262191
Channelview,,-0.014973501053572535,-0.01571970310828774,0.0035234457323498614,-0.009844134536505345,0.015244407622203804,0.01579892280071804
Crosby,,0.08594973217964563,0.03232660494764006,0.043590120552778666,0.0012678734944002734,0.027928244811818548,-0.030933479332055813
Deer Park,,0.009905845429580173,0.013078242853905575,0.021249400862757728,0.017866082603254174,-0.010728228459008338,0.006525386862221039
Galena Park,,0.01806491120636866,-0.019348370927318337,0.017890002044571585,0.007030229988952419,-0.002792460357035953,0.007800780078007774
Highlands,,0.038733741392501964,-0.01012798084890898,-0.0028834527020742406,-0.012033582089552186,-0.009536398829194548,0.01668255481410874
La Porte,,-0.005225851285615035,0.009193282476877007,0.01284749141654662,0.007791142700929399,0.0045029160450291705,0.009262509789095708
Seabrook,,0.029014554998807007,0.022306729119324853,0.003175467247323427,0.019716017002803676,-0.01197339246119733,-0.004398563734290817
South Houston,,0.008053284892521884,0.005165785679961621,0.01900322696306911,-0.010790523105794092,-0.00035570310647381476,0.002312892895267371
Webster,,0.026128468522228276,-0.013956966021433925,0.03370123852051554,-0.026937810742521773,0.018092725216735772,0.01563207042659087
