Zipcode,Estimate!!Total,Estimate!!Total!!Below 100 percent of the poverty level,Estimate!!Total!!100 to 149 percent of the poverty level,Estimate!!Total!!At or above 150 percent of the poverty level,Estimate!!Total!!Same house 1 year ago,Estimate!!Total!!Same house 1 year ago!!Below 100 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!100 to 149 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved within same county!!Below 100 percent of the poverty level,Estimate!!Total!!Moved within same county!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved within same county!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different county within same state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from different state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from abroad,Estimate!!Total!!Moved from abroad!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from abroad!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from abroad!!At or above 150 percent of the poverty level
77002,4778.0,922.0,380.0,3476.0,2783.0,557.0,127.0,2099.0,1047.0,178.0,76.0,793.0,271.0,120.0,48.0,103.0,571.0,57.0,97.0,417.0,106.0,10.0,32.0,64.0
77003,10316.0,3913.0,1141.0,5262.0,8175.0,3207.0,997.0,3971.0,1692.0,669.0,135.0,888.0,270.0,0.0,9.0,261.0,138.0,26.0,0.0,112.0,41.0,11.0,0.0,30.0
77004,26827.0,6768.0,2641.0,17418.0,19922.0,4725.0,1949.0,13248.0,4634.0,1527.0,631.0,2476.0,848.0,302.0,27.0,519.0,867.0,106.0,20.0,741.0,556.0,108.0,14.0,434.0
77005,24058.0,854.0,603.0,22601.0,21169.0,682.0,498.0,19989.0,1659.0,138.0,95.0,1426.0,260.0,0.0,10.0,250.0,727.0,9.0,0.0,718.0,243.0,25.0,0.0,218.0
77006,21053.0,2381.0,1301.0,17371.0,15939.0,1396.0,998.0,13545.0,3116.0,635.0,149.0,2332.0,676.0,145.0,36.0,495.0,946.0,133.0,118.0,695.0,376.0,72.0,0.0,304.0
77007,32684.0,3211.0,995.0,28478.0,22319.0,2454.0,687.0,19178.0,7665.0,581.0,147.0,6937.0,1164.0,61.0,78.0,1025.0,1147.0,52.0,48.0,1047.0,389.0,63.0,35.0,291.0
77008,30933.0,2687.0,1341.0,26905.0,24629.0,1964.0,1061.0,21604.0,4910.0,537.0,195.0,4178.0,620.0,91.0,33.0,496.0,516.0,10.0,52.0,454.0,258.0,85.0,0.0,173.0
77009,38595.0,10123.0,4814.0,23658.0,32807.0,8342.0,4057.0,20408.0,4467.0,1368.0,680.0,2419.0,513.0,279.0,52.0,182.0,687.0,134.0,25.0,528.0,121.0,0.0,0.0,121.0
77010,809.0,97.0,0.0,712.0,489.0,45.0,0.0,444.0,141.0,52.0,0.0,89.0,24.0,0.0,0.0,24.0,147.0,0.0,0.0,147.0,8.0,0.0,0.0,8.0
77011,19044.0,6581.0,4032.0,8431.0,16596.0,5564.0,3381.0,7651.0,1945.0,796.0,532.0,617.0,240.0,117.0,44.0,79.0,111.0,34.0,0.0,77.0,152.0,70.0,75.0,7.0
